Drug A,Drug B,Strain,Bliss Score,p-value,Interaction Type,Drug A Inchikey,Drug B Inchikey,Specie,Drug Pair
bacitracin,a22,escherichia coli bw25113,-0.1812,0.006321736,Synergy,CLKOFPXJLQSYAH-ABRJDSQDSA-N,LZTCFLDZLBOLDW-UHFFFAOYSA-N,escherichia coli,"('CLKOFPXJLQSYAH-ABRJDSQDSA-N', 'LZTCFLDZLBOLDW-UHFFFAOYSA-N')"
bacitracin,mitomycin c,escherichia coli bw25113,-0.1721,0.047029134,Synergy,CLKOFPXJLQSYAH-ABRJDSQDSA-N,NWIBSHFKIJFRCO-WUDYKRTCSA-N,escherichia coli,"('CLKOFPXJLQSYAH-ABRJDSQDSA-N', 'NWIBSHFKIJFRCO-WUDYKRTCSA-N')"
bacitracin,meropenem,escherichia coli bw25113,-0.268,0.009412936,Synergy,CLKOFPXJLQSYAH-ABRJDSQDSA-N,DMJNNHOOLUXYBV-PQTSNVLCSA-N,escherichia coli,"('CLKOFPXJLQSYAH-ABRJDSQDSA-N', 'DMJNNHOOLUXYBV-PQTSNVLCSA-N')"
polymyxin b,clindamycin,escherichia coli bw25113,-0.3037,0.014413559,Synergy,WQVJHHACXVLGBL-BPJDFBQWSA-N,KDLRVYVGXIQJDK-AWPVFWJPSA-N,escherichia coli,"('KDLRVYVGXIQJDK-AWPVFWJPSA-N', 'WQVJHHACXVLGBL-BPJDFBQWSA-N')"
polymyxin b,curcumin,escherichia coli bw25113,-0.6509,0.030292903,Synergy,WQVJHHACXVLGBL-BPJDFBQWSA-N,VFLDPWHFBUODDF-FCXRPNKRSA-N,escherichia coli,"('VFLDPWHFBUODDF-FCXRPNKRSA-N', 'WQVJHHACXVLGBL-BPJDFBQWSA-N')"
polymyxin b,triclosan,escherichia coli bw25113,-0.7639,0.034363451,Synergy,WQVJHHACXVLGBL-BPJDFBQWSA-N,XEFQLINVKFYRCS-UHFFFAOYSA-N,escherichia coli,"('WQVJHHACXVLGBL-BPJDFBQWSA-N', 'XEFQLINVKFYRCS-UHFFFAOYSA-N')"
fusidic acid,puromycin,escherichia coli bw25113,-0.1951,0.037076678,Synergy,IECPWNUMDGFDKC-MZJAQBGESA-N,RXWNCPJZOCPEPQ-NVWDDTSBSA-N,escherichia coli,"('IECPWNUMDGFDKC-MZJAQBGESA-N', 'RXWNCPJZOCPEPQ-NVWDDTSBSA-N')"
cefotaxime,cefsulodin,escherichia coli bw25113,-0.4088,0.001666307,Synergy,GPRBEKHLDVQUJE-QSWIMTSFSA-N,SYLKGLMBLAAGSC-QLVMHMETSA-N,escherichia coli,"('GPRBEKHLDVQUJE-QSWIMTSFSA-N', 'SYLKGLMBLAAGSC-QLVMHMETSA-N')"
benzalkonium,sulfamonomethoxine,escherichia coli bw25113,-0.2341,0.034363451,Synergy,VVZBFOKBSDGVGZ-UHFFFAOYSA-N,WMPXPUYPYQKQCX-UHFFFAOYSA-N,escherichia coli,"('VVZBFOKBSDGVGZ-UHFFFAOYSA-N', 'WMPXPUYPYQKQCX-UHFFFAOYSA-N')"
cefaclor,cefsulodin,escherichia coli bw25113,-0.4646,0.001666307,Synergy,QYIYFLOTGYLRGG-GPCCPHFNSA-N,SYLKGLMBLAAGSC-QLVMHMETSA-N,escherichia coli,"('QYIYFLOTGYLRGG-GPCCPHFNSA-N', 'SYLKGLMBLAAGSC-QLVMHMETSA-N')"
cefaclor,bleomycin,escherichia coli bw25113,-0.2116,0.007360115,Synergy,QYIYFLOTGYLRGG-GPCCPHFNSA-N,OYVAGSVQBOHSSS-WXFSZRTFSA-O,escherichia coli,"('OYVAGSVQBOHSSS-WXFSZRTFSA-O', 'QYIYFLOTGYLRGG-GPCCPHFNSA-N')"
cefsulodin,mecillinam,escherichia coli bw25113,-0.2863,0.001666307,Synergy,SYLKGLMBLAAGSC-QLVMHMETSA-N,BWWVAEOLVKTZFQ-NTZNESFSSA-N,escherichia coli,"('BWWVAEOLVKTZFQ-NTZNESFSSA-N', 'SYLKGLMBLAAGSC-QLVMHMETSA-N')"
cefsulodin,imipenem,escherichia coli bw25113,-0.2557,0.005217578,Synergy,SYLKGLMBLAAGSC-QLVMHMETSA-N,ZSKVGTPCRGIANV-ZXFLCMHBSA-N,escherichia coli,"('SYLKGLMBLAAGSC-QLVMHMETSA-N', 'ZSKVGTPCRGIANV-ZXFLCMHBSA-N')"
clindamycin,trimethoprim,escherichia coli bw25113,-0.1508,0.001666307,Synergy,KDLRVYVGXIQJDK-AWPVFWJPSA-N,IEDVJHCEMCRBQM-UHFFFAOYSA-N,escherichia coli,"('IEDVJHCEMCRBQM-UHFFFAOYSA-N', 'KDLRVYVGXIQJDK-AWPVFWJPSA-N')"
spiramycin,colistin,escherichia coli bw25113,-0.7051,0.001666307,Synergy,ACTOXUHEUCPTEW-CEUOBAOPSA-N,YKQOSKADJPQZHB-RGYSVOEGSA-N,escherichia coli,"('ACTOXUHEUCPTEW-CEUOBAOPSA-N', 'YKQOSKADJPQZHB-RGYSVOEGSA-N')"
erythromycin,egcg,escherichia coli bw25113,-0.1166,0.020738933,Synergy,ULGZDMOVFRHVEP-RWJQBGPGSA-N,WMBWREPUVVBILR-WIYYLYMNSA-N,escherichia coli,"('ULGZDMOVFRHVEP-RWJQBGPGSA-N', 'WMBWREPUVVBILR-WIYYLYMNSA-N')"
trimethoprim,mecillinam,escherichia coli bw25113,-0.2288,0.001666307,Synergy,IEDVJHCEMCRBQM-UHFFFAOYSA-N,BWWVAEOLVKTZFQ-NTZNESFSSA-N,escherichia coli,"('BWWVAEOLVKTZFQ-NTZNESFSSA-N', 'IEDVJHCEMCRBQM-UHFFFAOYSA-N')"
trimethoprim,imipenem,escherichia coli bw25113,-0.2099,0.012435227,Synergy,IEDVJHCEMCRBQM-UHFFFAOYSA-N,ZSKVGTPCRGIANV-ZXFLCMHBSA-N,escherichia coli,"('IEDVJHCEMCRBQM-UHFFFAOYSA-N', 'ZSKVGTPCRGIANV-ZXFLCMHBSA-N')"
sulfamonomethoxine,rifampicin,escherichia coli bw25113,-0.1669,0.005217578,Synergy,WMPXPUYPYQKQCX-UHFFFAOYSA-N,JQXXHWHPUNPDRT-WLSIYKJHSA-N,escherichia coli,"('JQXXHWHPUNPDRT-WLSIYKJHSA-N', 'WMPXPUYPYQKQCX-UHFFFAOYSA-N')"
procaine,puromycin,escherichia coli bw25113,-0.6293,0.001666307,Synergy,MFDFERRIHVXMIY-UHFFFAOYSA-N,RXWNCPJZOCPEPQ-NVWDDTSBSA-N,escherichia coli,"('MFDFERRIHVXMIY-UHFFFAOYSA-N', 'RXWNCPJZOCPEPQ-NVWDDTSBSA-N')"
procaine,bleomycin,escherichia coli bw25113,-0.429,0.001666307,Synergy,MFDFERRIHVXMIY-UHFFFAOYSA-N,OYVAGSVQBOHSSS-WXFSZRTFSA-O,escherichia coli,"('MFDFERRIHVXMIY-UHFFFAOYSA-N', 'OYVAGSVQBOHSSS-WXFSZRTFSA-O')"
nitrofurantoin,bleomycin,escherichia coli bw25113,-0.1936,0.001666307,Synergy,NXFQHRVNIOXGAQ-YCRREMRBSA-N,OYVAGSVQBOHSSS-WXFSZRTFSA-O,escherichia coli,"('NXFQHRVNIOXGAQ-YCRREMRBSA-N', 'OYVAGSVQBOHSSS-WXFSZRTFSA-O')"
mecillinam,a22,escherichia coli bw25113,-0.1753,0.001666307,Synergy,BWWVAEOLVKTZFQ-NTZNESFSSA-N,LZTCFLDZLBOLDW-UHFFFAOYSA-N,escherichia coli,"('BWWVAEOLVKTZFQ-NTZNESFSSA-N', 'LZTCFLDZLBOLDW-UHFFFAOYSA-N')"
mecillinam,bleomycin,escherichia coli bw25113,-0.1684,0.001666307,Synergy,BWWVAEOLVKTZFQ-NTZNESFSSA-N,OYVAGSVQBOHSSS-WXFSZRTFSA-O,escherichia coli,"('BWWVAEOLVKTZFQ-NTZNESFSSA-N', 'OYVAGSVQBOHSSS-WXFSZRTFSA-O')"
a22,bleomycin,escherichia coli bw25113,-0.1884,0.001666307,Synergy,LZTCFLDZLBOLDW-UHFFFAOYSA-N,OYVAGSVQBOHSSS-WXFSZRTFSA-O,escherichia coli,"('LZTCFLDZLBOLDW-UHFFFAOYSA-N', 'OYVAGSVQBOHSSS-WXFSZRTFSA-O')"
minocycline,egcg,escherichia coli bw25113,-0.1177,0.037881789,Synergy,WTJXVDPDEQKTCV-VQAITOIOSA-N,WMBWREPUVVBILR-WIYYLYMNSA-N,escherichia coli,"('WMBWREPUVVBILR-WIYYLYMNSA-N', 'WTJXVDPDEQKTCV-VQAITOIOSA-N')"
tobramycin,puromycin,escherichia coli bw25113,-0.2917,0.001666307,Synergy,NLVFBUXFDBBNBW-PBSUHMDJSA-N,RXWNCPJZOCPEPQ-NVWDDTSBSA-N,escherichia coli,"('NLVFBUXFDBBNBW-PBSUHMDJSA-N', 'RXWNCPJZOCPEPQ-NVWDDTSBSA-N')"
egcg,ciclopirox,escherichia coli bw25113,-0.2986,0.047612356,Synergy,WMBWREPUVVBILR-WIYYLYMNSA-N,SCKYRAXSEDYPSA-UHFFFAOYSA-N,escherichia coli,"('SCKYRAXSEDYPSA-UHFFFAOYSA-N', 'WMBWREPUVVBILR-WIYYLYMNSA-N')"
rifampicin,curcumin,escherichia coli bw25113,-0.1822,0.019773113,Synergy,JQXXHWHPUNPDRT-WLSIYKJHSA-N,VFLDPWHFBUODDF-FCXRPNKRSA-N,escherichia coli,"('JQXXHWHPUNPDRT-WLSIYKJHSA-N', 'VFLDPWHFBUODDF-FCXRPNKRSA-N')"
aztreonam,penicillin g,escherichia coli bw25113,-0.242,0.001666307,Synergy,WZPBZJONDBGPKJ-VEHQQRBSSA-N,JGSARLDLIJGVTE-MBNYWOFBSA-N,escherichia coli,"('JGSARLDLIJGVTE-MBNYWOFBSA-N', 'WZPBZJONDBGPKJ-VEHQQRBSSA-N')"
ciprofloxacin,amikacin,escherichia coli bw25113,-0.206,0.003515502,Synergy,MYSWGUAQZAJSOK-UHFFFAOYSA-N,LKCWBDHBTVXHDL-RMDFUYIESA-N,escherichia coli,"('LKCWBDHBTVXHDL-RMDFUYIESA-N', 'MYSWGUAQZAJSOK-UHFFFAOYSA-N')"
cefsulodin,levofloxacin,escherichia coli bw25113,-0.2033,0.03926274,Synergy,SYLKGLMBLAAGSC-QLVMHMETSA-N,GSDSWSVVBLHKDQ-JTQLQIEISA-N,escherichia coli,"('GSDSWSVVBLHKDQ-JTQLQIEISA-N', 'SYLKGLMBLAAGSC-QLVMHMETSA-N')"
trimethoprim,meropenem,escherichia coli bw25113,-0.3313,0.025469742,Synergy,IEDVJHCEMCRBQM-UHFFFAOYSA-N,DMJNNHOOLUXYBV-PQTSNVLCSA-N,escherichia coli,"('DMJNNHOOLUXYBV-PQTSNVLCSA-N', 'IEDVJHCEMCRBQM-UHFFFAOYSA-N')"
mecillinam,doxorubicin,escherichia coli bw25113,-0.1132,0.01832232,Synergy,BWWVAEOLVKTZFQ-NTZNESFSSA-N,AOJJSUZBOXZQNB-TZSSRYMLSA-N,escherichia coli,"('AOJJSUZBOXZQNB-TZSSRYMLSA-N', 'BWWVAEOLVKTZFQ-NTZNESFSSA-N')"
aztreonam,doxorubicin,escherichia coli bw25113,-0.128,0.046464761,Synergy,WZPBZJONDBGPKJ-VEHQQRBSSA-N,AOJJSUZBOXZQNB-TZSSRYMLSA-N,escherichia coli,"('AOJJSUZBOXZQNB-TZSSRYMLSA-N', 'WZPBZJONDBGPKJ-VEHQQRBSSA-N')"
puromycin,gentamicin,escherichia coli bw25113,-0.3975,0.027238221,Synergy,RXWNCPJZOCPEPQ-NVWDDTSBSA-N,CEAZRRDELHUEMR-UHFFFAOYSA-N,escherichia coli,"('CEAZRRDELHUEMR-UHFFFAOYSA-N', 'RXWNCPJZOCPEPQ-NVWDDTSBSA-N')"
bleomycin,moxifloxacin,escherichia coli bw25113,-0.2864,0.009843406,Synergy,OYVAGSVQBOHSSS-WXFSZRTFSA-O,FABPRXSRWADJSP-MEDUHNTESA-N,escherichia coli,"('FABPRXSRWADJSP-MEDUHNTESA-N', 'OYVAGSVQBOHSSS-WXFSZRTFSA-O')"
amoxicillin,procaine,escherichia coli bw25113,0.2334,0.001666307,Antagonism,LSQZJLSUYDQPKJ-NJBDSQKTSA-N,MFDFERRIHVXMIY-UHFFFAOYSA-N,escherichia coli,"('LSQZJLSUYDQPKJ-NJBDSQKTSA-N', 'MFDFERRIHVXMIY-UHFFFAOYSA-N')"
amoxicillin,vanillin,escherichia coli bw25113,0.1795,0.041831148,Antagonism,LSQZJLSUYDQPKJ-NJBDSQKTSA-N,MWOOGOJBHIARFG-UHFFFAOYSA-N,escherichia coli,"('LSQZJLSUYDQPKJ-NJBDSQKTSA-N', 'MWOOGOJBHIARFG-UHFFFAOYSA-N')"
amoxicillin,caffeine,escherichia coli bw25113,0.16,0.012435227,Antagonism,LSQZJLSUYDQPKJ-NJBDSQKTSA-N,RYYVLZVUVIJVGH-UHFFFAOYSA-N,escherichia coli,"('LSQZJLSUYDQPKJ-NJBDSQKTSA-N', 'RYYVLZVUVIJVGH-UHFFFAOYSA-N')"
amoxicillin,metformin,escherichia coli bw25113,0.2445,0.046438821,Antagonism,LSQZJLSUYDQPKJ-NJBDSQKTSA-N,XZWYZXLIPXDOLR-UHFFFAOYSA-N,escherichia coli,"('LSQZJLSUYDQPKJ-NJBDSQKTSA-N', 'XZWYZXLIPXDOLR-UHFFFAOYSA-N')"
chloramphenicol,mecillinam,escherichia coli bw25113,0.1306,0.019773113,Antagonism,WIIZWVCIJKGZOK-RKDXNWHRSA-N,BWWVAEOLVKTZFQ-NTZNESFSSA-N,escherichia coli,"('BWWVAEOLVKTZFQ-NTZNESFSSA-N', 'WIIZWVCIJKGZOK-RKDXNWHRSA-N')"
chloramphenicol,imipenem,escherichia coli bw25113,0.1405,0.004098642,Antagonism,WIIZWVCIJKGZOK-RKDXNWHRSA-N,ZSKVGTPCRGIANV-ZXFLCMHBSA-N,escherichia coli,"('WIIZWVCIJKGZOK-RKDXNWHRSA-N', 'ZSKVGTPCRGIANV-ZXFLCMHBSA-N')"
chloramphenicol,metformin,escherichia coli bw25113,0.1567,0.004098642,Antagonism,WIIZWVCIJKGZOK-RKDXNWHRSA-N,XZWYZXLIPXDOLR-UHFFFAOYSA-N,escherichia coli,"('WIIZWVCIJKGZOK-RKDXNWHRSA-N', 'XZWYZXLIPXDOLR-UHFFFAOYSA-N')"
ciprofloxacin,procaine,escherichia coli bw25113,0.1344,0.005217578,Antagonism,MYSWGUAQZAJSOK-UHFFFAOYSA-N,MFDFERRIHVXMIY-UHFFFAOYSA-N,escherichia coli,"('MFDFERRIHVXMIY-UHFFFAOYSA-N', 'MYSWGUAQZAJSOK-UHFFFAOYSA-N')"
spectinomycin,fosfomycin,escherichia coli bw25113,0.3505,0.001666307,Antagonism,UNFWWIHTNXNPBV-WXKVUWSESA-N,YMDXZJFXQJVXBF-STHAYSLISA-N,escherichia coli,"('UNFWWIHTNXNPBV-WXKVUWSESA-N', 'YMDXZJFXQJVXBF-STHAYSLISA-N')"
spectinomycin,procaine,escherichia coli bw25113,0.1471,0.001666307,Antagonism,UNFWWIHTNXNPBV-WXKVUWSESA-N,MFDFERRIHVXMIY-UHFFFAOYSA-N,escherichia coli,"('MFDFERRIHVXMIY-UHFFFAOYSA-N', 'UNFWWIHTNXNPBV-WXKVUWSESA-N')"
spectinomycin,bleomycin,escherichia coli bw25113,0.1346,0.049049125,Antagonism,UNFWWIHTNXNPBV-WXKVUWSESA-N,OYVAGSVQBOHSSS-WXFSZRTFSA-O,escherichia coli,"('OYVAGSVQBOHSSS-WXFSZRTFSA-O', 'UNFWWIHTNXNPBV-WXKVUWSESA-N')"
fosfomycin,benzalkonium,escherichia coli bw25113,0.3274,0.005217578,Antagonism,YMDXZJFXQJVXBF-STHAYSLISA-N,VVZBFOKBSDGVGZ-UHFFFAOYSA-N,escherichia coli,"('VVZBFOKBSDGVGZ-UHFFFAOYSA-N', 'YMDXZJFXQJVXBF-STHAYSLISA-N')"
fosfomycin,trimethoprim,escherichia coli bw25113,0.2661,0.001666307,Antagonism,YMDXZJFXQJVXBF-STHAYSLISA-N,IEDVJHCEMCRBQM-UHFFFAOYSA-N,escherichia coli,"('IEDVJHCEMCRBQM-UHFFFAOYSA-N', 'YMDXZJFXQJVXBF-STHAYSLISA-N')"
fosfomycin,tobramycin,escherichia coli bw25113,0.2181,0.009412936,Antagonism,YMDXZJFXQJVXBF-STHAYSLISA-N,NLVFBUXFDBBNBW-PBSUHMDJSA-N,escherichia coli,"('NLVFBUXFDBBNBW-PBSUHMDJSA-N', 'YMDXZJFXQJVXBF-STHAYSLISA-N')"
fosfomycin,rifampicin,escherichia coli bw25113,0.1427,0.025110729,Antagonism,YMDXZJFXQJVXBF-STHAYSLISA-N,JQXXHWHPUNPDRT-WLSIYKJHSA-N,escherichia coli,"('JQXXHWHPUNPDRT-WLSIYKJHSA-N', 'YMDXZJFXQJVXBF-STHAYSLISA-N')"
fosfomycin,mitomycin c,escherichia coli bw25113,0.2663,0.001666307,Antagonism,YMDXZJFXQJVXBF-STHAYSLISA-N,NWIBSHFKIJFRCO-WUDYKRTCSA-N,escherichia coli,"('NWIBSHFKIJFRCO-WUDYKRTCSA-N', 'YMDXZJFXQJVXBF-STHAYSLISA-N')"
fosfomycin,ciclopirox,escherichia coli bw25113,0.1886,0.017082736,Antagonism,YMDXZJFXQJVXBF-STHAYSLISA-N,SCKYRAXSEDYPSA-UHFFFAOYSA-N,escherichia coli,"('SCKYRAXSEDYPSA-UHFFFAOYSA-N', 'YMDXZJFXQJVXBF-STHAYSLISA-N')"
fosfomycin,chir-90,escherichia coli bw25113,0.1676,0.006321736,Antagonism,YMDXZJFXQJVXBF-STHAYSLISA-N,FQYBTYFKOHPWQT-VGSWGCGISA-N,escherichia coli,"('FQYBTYFKOHPWQT-VGSWGCGISA-N', 'YMDXZJFXQJVXBF-STHAYSLISA-N')"
novobiocin,cefaclor,escherichia coli bw25113,0.1662,0.007360115,Antagonism,YJQPYGGHQPGBLI-KGSXXDOSSA-N,QYIYFLOTGYLRGG-GPCCPHFNSA-N,escherichia coli,"('QYIYFLOTGYLRGG-GPCCPHFNSA-N', 'YJQPYGGHQPGBLI-KGSXXDOSSA-N')"
novobiocin,rifampicin,escherichia coli bw25113,0.1402,0.015287108,Antagonism,YJQPYGGHQPGBLI-KGSXXDOSSA-N,JQXXHWHPUNPDRT-WLSIYKJHSA-N,escherichia coli,"('JQXXHWHPUNPDRT-WLSIYKJHSA-N', 'YJQPYGGHQPGBLI-KGSXXDOSSA-N')"
novobiocin,aztreonam,escherichia coli bw25113,0.2788,0.001666307,Antagonism,YJQPYGGHQPGBLI-KGSXXDOSSA-N,WZPBZJONDBGPKJ-VEHQQRBSSA-N,escherichia coli,"('WZPBZJONDBGPKJ-VEHQQRBSSA-N', 'YJQPYGGHQPGBLI-KGSXXDOSSA-N')"
fusidic acid,benzalkonium,escherichia coli bw25113,0.1782,0.013512711,Antagonism,IECPWNUMDGFDKC-MZJAQBGESA-N,VVZBFOKBSDGVGZ-UHFFFAOYSA-N,escherichia coli,"('IECPWNUMDGFDKC-MZJAQBGESA-N', 'VVZBFOKBSDGVGZ-UHFFFAOYSA-N')"
fusidic acid,trimethoprim,escherichia coli bw25113,0.1565,0.008407909,Antagonism,IECPWNUMDGFDKC-MZJAQBGESA-N,IEDVJHCEMCRBQM-UHFFFAOYSA-N,escherichia coli,"('IECPWNUMDGFDKC-MZJAQBGESA-N', 'IEDVJHCEMCRBQM-UHFFFAOYSA-N')"
fusidic acid,mecillinam,escherichia coli bw25113,0.146,0.005217578,Antagonism,IECPWNUMDGFDKC-MZJAQBGESA-N,BWWVAEOLVKTZFQ-NTZNESFSSA-N,escherichia coli,"('BWWVAEOLVKTZFQ-NTZNESFSSA-N', 'IECPWNUMDGFDKC-MZJAQBGESA-N')"
fusidic acid,curcumin,escherichia coli bw25113,0.19,0.006321736,Antagonism,IECPWNUMDGFDKC-MZJAQBGESA-N,VFLDPWHFBUODDF-FCXRPNKRSA-N,escherichia coli,"('IECPWNUMDGFDKC-MZJAQBGESA-N', 'VFLDPWHFBUODDF-FCXRPNKRSA-N')"
cefotaxime,trimethoprim,escherichia coli bw25113,0.1329,0.012435227,Antagonism,GPRBEKHLDVQUJE-QSWIMTSFSA-N,IEDVJHCEMCRBQM-UHFFFAOYSA-N,escherichia coli,"('GPRBEKHLDVQUJE-QSWIMTSFSA-N', 'IEDVJHCEMCRBQM-UHFFFAOYSA-N')"
cefotaxime,procaine,escherichia coli bw25113,0.1156,0.001666307,Antagonism,GPRBEKHLDVQUJE-QSWIMTSFSA-N,MFDFERRIHVXMIY-UHFFFAOYSA-N,escherichia coli,"('GPRBEKHLDVQUJE-QSWIMTSFSA-N', 'MFDFERRIHVXMIY-UHFFFAOYSA-N')"
cefotaxime,caffeine,escherichia coli bw25113,0.1033,0.008407909,Antagonism,GPRBEKHLDVQUJE-QSWIMTSFSA-N,RYYVLZVUVIJVGH-UHFFFAOYSA-N,escherichia coli,"('GPRBEKHLDVQUJE-QSWIMTSFSA-N', 'RYYVLZVUVIJVGH-UHFFFAOYSA-N')"
cefotaxime,mitomycin c,escherichia coli bw25113,0.1309,0.001666307,Antagonism,GPRBEKHLDVQUJE-QSWIMTSFSA-N,NWIBSHFKIJFRCO-WUDYKRTCSA-N,escherichia coli,"('GPRBEKHLDVQUJE-QSWIMTSFSA-N', 'NWIBSHFKIJFRCO-WUDYKRTCSA-N')"
cefotaxime,curcumin,escherichia coli bw25113,0.1652,0.03203013,Antagonism,GPRBEKHLDVQUJE-QSWIMTSFSA-N,VFLDPWHFBUODDF-FCXRPNKRSA-N,escherichia coli,"('GPRBEKHLDVQUJE-QSWIMTSFSA-N', 'VFLDPWHFBUODDF-FCXRPNKRSA-N')"
benzalkonium,trimethoprim,escherichia coli bw25113,0.1507,0.001666307,Antagonism,VVZBFOKBSDGVGZ-UHFFFAOYSA-N,IEDVJHCEMCRBQM-UHFFFAOYSA-N,escherichia coli,"('IEDVJHCEMCRBQM-UHFFFAOYSA-N', 'VVZBFOKBSDGVGZ-UHFFFAOYSA-N')"
benzalkonium,mecillinam,escherichia coli bw25113,0.1789,0.023345905,Antagonism,VVZBFOKBSDGVGZ-UHFFFAOYSA-N,BWWVAEOLVKTZFQ-NTZNESFSSA-N,escherichia coli,"('BWWVAEOLVKTZFQ-NTZNESFSSA-N', 'VVZBFOKBSDGVGZ-UHFFFAOYSA-N')"
cefaclor,spiramycin,escherichia coli bw25113,0.102,0.009412936,Antagonism,QYIYFLOTGYLRGG-GPCCPHFNSA-N,ACTOXUHEUCPTEW-CEUOBAOPSA-N,escherichia coli,"('ACTOXUHEUCPTEW-CEUOBAOPSA-N', 'QYIYFLOTGYLRGG-GPCCPHFNSA-N')"
cefaclor,erythromycin,escherichia coli bw25113,0.1282,0.019773113,Antagonism,QYIYFLOTGYLRGG-GPCCPHFNSA-N,ULGZDMOVFRHVEP-RWJQBGPGSA-N,escherichia coli,"('QYIYFLOTGYLRGG-GPCCPHFNSA-N', 'ULGZDMOVFRHVEP-RWJQBGPGSA-N')"
cefaclor,caffeine,escherichia coli bw25113,0.1014,0.049049125,Antagonism,QYIYFLOTGYLRGG-GPCCPHFNSA-N,RYYVLZVUVIJVGH-UHFFFAOYSA-N,escherichia coli,"('QYIYFLOTGYLRGG-GPCCPHFNSA-N', 'RYYVLZVUVIJVGH-UHFFFAOYSA-N')"
cefaclor,puromycin,escherichia coli bw25113,0.1088,0.017082736,Antagonism,QYIYFLOTGYLRGG-GPCCPHFNSA-N,RXWNCPJZOCPEPQ-NVWDDTSBSA-N,escherichia coli,"('QYIYFLOTGYLRGG-GPCCPHFNSA-N', 'RXWNCPJZOCPEPQ-NVWDDTSBSA-N')"
