Drug 1,Drug 2,E. coli BW25113,E. coli iAi1,ST LT2,ST 14028,PAO1,PA14,p-value E. coli BW25113,p-value E. coli iAi1,p-value ST LT2,p-value ST 14028,p-value PAO1,p-value PA14,interaction E. coli BW25113,interaction E. coli iAi1,interaction ST LT2,interaction ST14028,interaction PAO1,interaction PA14
Fusidic acid,Puromycin,-0.195058429,-0.210149378,NA,NA,NA,NA,0.037076678,NA,NA,NA,NA,NA,Synergy,NA,NA,NA,NA,NA
Cefotaxime,Cefsulodin,-0.408844983,-0.496738724,NA,NA,NA,NA,0.001666307,0.001463305,NA,NA,NA,NA,Synergy,Synergy,NA,NA,NA,NA
Benzalkonium,Sulfamonomethoxine,-0.234051887,0.057771696,NA,NA,NA,NA,0.034363451,NA,NA,NA,NA,NA,Synergy,NA,NA,NA,NA,NA
Cefaclor,Cefsulodin,-0.464587715,-0.556969404,NA,NA,NA,NA,0.001666307,0.001463305,NA,NA,NA,NA,Synergy,Synergy,NA,NA,NA,NA
Cefaclor,Bleomycin,-0.211613725,-0.143045864,NA,NA,NA,NA,0.007360115,0.001463305,NA,NA,NA,NA,Synergy,Synergy,NA,NA,NA,NA
Cefsulodin,Mecillinam,-0.286252469,-0.412621551,NA,NA,NA,NA,0.001666307,0.001813026,NA,NA,NA,NA,Synergy,Synergy,NA,NA,NA,NA
Cefsulodin,Imipenem,-0.255731292,-0.071384305,NA,NA,0.370081863,-0.160994606,0.005217578,NA,NA,NA,0.001849815,0.043446742,Synergy,NA,NA,NA,Antagonism,Synergy
Clindamycin,Trimethoprim,-0.150788294,-0.092744549,NA,NA,NA,NA,0.001666307,NA,NA,NA,NA,NA,Synergy,NA,NA,NA,NA,NA
Spiramycin,Nisin,-0.11065906,-0.043044653,NA,NA,NA,NA,0.049613436,NA,NA,NA,NA,NA,Synergy,NA,NA,NA,NA,NA
Spiramycin,Colistin,-0.705121244,-0.522820929,NA,NA,NA,NA,0.001666307,0.043361123,NA,NA,NA,NA,Synergy,Synergy,NA,NA,NA,NA
Erythromycin,EGCG,-0.116614889,0.042681431,NA,NA,NA,NA,0.020738933,NA,NA,NA,NA,NA,Synergy,NA,NA,NA,NA,NA
Trimethoprim,Verapamil,-0.186578918,-0.058721778,NA,NA,NA,NA,0.001666307,NA,NA,NA,NA,NA,Synergy,NA,NA,NA,NA,NA
Trimethoprim,Mecillinam,-0.228821859,0.091123237,NA,NA,NA,NA,0.001666307,NA,NA,NA,NA,NA,Synergy,NA,NA,NA,NA,NA
Trimethoprim,Imipenem,-0.209926531,-0.066841182,NA,NA,NA,NA,0.012435227,NA,NA,NA,NA,NA,Synergy,NA,NA,NA,NA,NA
Sulfamonomethoxine,Rifampicin,-0.166935419,-0.11132964,NA,NA,NA,NA,0.005217578,NA,NA,NA,NA,NA,Synergy,NA,NA,NA,NA,NA
Procaine,Puromycin,-0.629307429,-0.576000577,NA,NA,NA,NA,0.001666307,0.001463305,NA,NA,NA,NA,Synergy,Synergy,NA,NA,NA,NA
Procaine,Bleomycin,-0.429031983,-0.444387527,NA,NA,NA,NA,0.001666307,0.001463305,NA,NA,NA,NA,Synergy,Synergy,NA,NA,NA,NA
Verapamil,A22,-0.104701119,0.025928811,NA,NA,NA,NA,0.001666307,NA,NA,NA,NA,NA,Synergy,NA,NA,NA,NA,NA
Verapamil,Loperamide,-0.127586969,-0.074569487,NA,NA,NA,NA,0.007360115,NA,NA,NA,NA,NA,Synergy,NA,NA,NA,NA,NA
Nitrofurantoin,Bleomycin,-0.193553566,-0.31899795,NA,NA,NA,NA,0.001666307,0.001463305,NA,NA,NA,NA,Synergy,Synergy,NA,NA,NA,NA
Mecillinam,A22,-0.175348504,-0.087425732,NA,NA,NA,NA,0.001666307,NA,NA,NA,NA,NA,Synergy,NA,NA,NA,NA,NA
Mecillinam,Bleomycin,-0.168364161,-0.138395538,NA,NA,NA,NA,0.001666307,NA,NA,NA,NA,NA,Synergy,NA,NA,NA,NA,NA
A22,Bleomycin,-0.188424513,-0.223264015,NA,NA,NA,NA,0.001666307,0.001463305,NA,NA,NA,NA,Synergy,Synergy,NA,NA,NA,NA
Loperamide,Minocycline,-0.147682106,-0.090796039,NA,NA,NA,NA,0.004098642,NA,NA,NA,NA,NA,Synergy,NA,NA,NA,NA,NA
Loperamide,Ciclopirox,-0.233621622,0.034914547,NA,NA,NA,NA,0.027833079,NA,NA,NA,NA,NA,Synergy,NA,NA,NA,NA,NA
Minocycline,EGCG,-0.117660554,-0.049378181,NA,NA,NA,NA,0.037881789,NA,NA,NA,NA,NA,Synergy,NA,NA,NA,NA,NA
Tobramycin,Puromycin,-0.291722887,-0.193851284,NA,NA,NA,NA,0.001666307,NA,NA,NA,NA,NA,Synergy,NA,NA,NA,NA,NA
EGCG,Ciclopirox,-0.298646509,-0.312359321,NA,NA,NA,NA,0.047612356,0.006963072,NA,NA,NA,NA,Synergy,Synergy,NA,NA,NA,NA
Rifampicin,Curcumin,-0.182215906,-0.085728422,NA,NA,NA,NA,0.019773113,NA,NA,NA,NA,NA,Synergy,NA,NA,NA,NA,NA
Aztreonam,Penicillin G,-0.241961917,-0.249976928,NA,NA,NA,NA,0.001666307,0.001463305,NA,NA,NA,NA,Synergy,Synergy,NA,NA,NA,NA
Ciprofloxacin,Amikacin,-0.205952554,-0.116871131,NA,NA,NA,NA,0.003515502,0.024022598,NA,NA,NA,NA,Synergy,Synergy,NA,NA,NA,NA
Cefsulodin,Levofloxacin,-0.203314341,-0.189007164,NA,NA,NA,NA,0.03926274,0.025019762,NA,NA,NA,NA,Synergy,Synergy,NA,NA,NA,NA
Trimethoprim,Meropenem,-0.331258375,-0.095179138,NA,NA,NA,NA,0.025469742,NA,NA,NA,NA,NA,Synergy,NA,NA,NA,NA,NA
Verapamil,Aztreonam,-0.163104708,-0.094919036,NA,NA,NA,NA,0.033097801,NA,NA,NA,NA,NA,Synergy,NA,NA,NA,NA,NA
Mecillinam,Nisin,-0.110322687,-0.018389862,NA,NA,NA,NA,0.046464761,NA,NA,NA,NA,NA,Synergy,NA,NA,NA,NA,NA
Mecillinam,Doxorubicin,-0.113195742,-0.086195584,NA,NA,NA,NA,0.01832232,NA,NA,NA,NA,NA,Synergy,NA,NA,NA,NA,NA
Aztreonam,Doxorubicin,-0.127969488,-0.13192182,NA,NA,NA,NA,0.046464761,NA,NA,NA,NA,NA,Synergy,NA,NA,NA,NA,NA
Puromycin,Gentamicin,-0.39750342,-0.106867637,NA,NA,NA,NA,0.027238221,NA,NA,NA,NA,NA,Synergy,NA,NA,NA,NA,NA
Bleomycin,Moxifloxacin,-0.286363341,-0.169295891,NA,NA,NA,NA,0.009843406,NA,NA,NA,NA,NA,Synergy,NA,NA,NA,NA,NA
Amoxicillin,Doxycycline,0.108376005,0.087607451,NA,NA,NA,NA,0.046438821,NA,NA,NA,NA,NA,Antagonism,NA,NA,NA,NA,NA
Amoxicillin,Procaine,0.233405322,0.261823236,NA,NA,NA,NA,0.001666307,0.001463305,NA,NA,NA,NA,Antagonism,Antagonism,NA,NA,NA,NA
Amoxicillin,Vanillin,0.179480173,0.487941821,NA,NA,NA,NA,0.041831148,0.001463305,NA,NA,NA,NA,Antagonism,Antagonism,NA,NA,NA,NA
Amoxicillin,Caffeine,0.16000844,0.064247745,NA,NA,NA,NA,0.012435227,NA,NA,NA,NA,NA,Antagonism,NA,NA,NA,NA,NA
Amoxicillin,Metformin,0.244481275,0.174963722,NA,NA,NA,NA,0.046438821,NA,NA,NA,NA,NA,Antagonism,NA,NA,NA,NA,NA
Chloramphenicol,Mecillinam,0.130579848,0.243450139,NA,NA,NA,NA,0.019773113,0.045840486,NA,NA,NA,NA,Antagonism,Antagonism,NA,NA,NA,NA
Chloramphenicol,Imipenem,0.140464845,0.178634798,NA,NA,NA,NA,0.004098642,0.017498889,NA,NA,NA,NA,Antagonism,Antagonism,NA,NA,NA,NA
Chloramphenicol,Metformin,0.156725606,0.229636943,NA,NA,NA,NA,0.004098642,0.001463305,NA,NA,NA,NA,Antagonism,Antagonism,NA,NA,NA,NA
Ciprofloxacin,Procaine,0.13441429,0.201965574,NA,NA,-0.310895064,0.379970016,0.005217578,0.001463305,NA,NA,0.002089943,0.002815025,Antagonism,Antagonism,NA,NA,Synergy,Antagonism
Cycloserine D,Phleomycin,0.119944147,0.125391684,NA,NA,NA,NA,0.044762604,NA,NA,NA,NA,NA,Antagonism,NA,NA,NA,NA,NA
Doxycycline,Cefotaxime,0.133588013,0.096696496,NA,NA,NA,NA,0.001666307,NA,NA,NA,NA,NA,Antagonism,NA,NA,NA,NA,NA
Spectinomycin,Fosfomycin,0.350501363,0.299744082,NA,NA,NA,NA,0.001666307,0.001463305,NA,NA,NA,NA,Antagonism,Antagonism,NA,NA,NA,NA
Spectinomycin,Procaine,0.147127832,0.139202765,NA,NA,NA,NA,0.001666307,0.001463305,NA,NA,NA,NA,Antagonism,Antagonism,NA,NA,NA,NA
Spectinomycin,Bleomycin,0.134610583,0.173713542,NA,NA,NA,NA,0.049049125,0.001463305,NA,NA,NA,NA,Antagonism,Antagonism,NA,NA,NA,NA
Fosfomycin,Benzalkonium,0.327446282,0.150156488,NA,NA,NA,NA,0.005217578,0.017498889,NA,NA,NA,NA,Antagonism,Antagonism,NA,NA,NA,NA
Fosfomycin,Trimethoprim,0.266135173,0.301269277,NA,NA,NA,NA,0.001666307,0.001463305,NA,NA,NA,NA,Antagonism,Antagonism,NA,NA,NA,NA
Fosfomycin,Tobramycin,0.218082498,0.065463837,NA,NA,NA,NA,0.009412936,NA,NA,NA,NA,NA,Antagonism,NA,NA,NA,NA,NA
Fosfomycin,Rifampicin,0.142687297,0.209264496,NA,NA,NA,NA,0.025110729,0.001463305,NA,NA,NA,NA,Antagonism,Antagonism,NA,NA,NA,NA
Fosfomycin,Mitomycin C,0.266286117,0.136999423,NA,NA,-0.220953385,0.266864296,0.001666307,0.02865346,NA,NA,0.002089943,0.002815025,Antagonism,Antagonism,NA,NA,Synergy,Antagonism
Fosfomycin,Ciclopirox,0.188632284,0.079201084,NA,NA,NA,NA,0.017082736,NA,NA,NA,NA,NA,Antagonism,NA,NA,NA,NA,NA
Fosfomycin,CHIR-90,0.167574298,0.088542768,NA,NA,NA,NA,0.006321736,NA,NA,NA,NA,NA,Antagonism,NA,NA,NA,NA,NA
Novobiocin,Cefaclor,0.166210005,-0.066473401,NA,NA,NA,NA,0.007360115,NA,NA,NA,NA,NA,Antagonism,NA,NA,NA,NA,NA
Novobiocin,Rifampicin,0.140183451,-0.10857574,NA,NA,NA,NA,0.015287108,NA,NA,NA,NA,NA,Antagonism,NA,NA,NA,NA,NA
Novobiocin,Aztreonam,0.278791506,0.168244286,NA,NA,NA,NA,0.001666307,0.007206779,NA,NA,NA,NA,Antagonism,Antagonism,NA,NA,NA,NA
Fusidic acid,Benzalkonium,0.17818777,0.082618242,NA,NA,NA,NA,0.013512711,NA,NA,NA,NA,NA,Antagonism,NA,NA,NA,NA,NA
Fusidic acid,Trimethoprim,0.156523573,0.082222316,NA,NA,NA,NA,0.008407909,NA,NA,NA,NA,NA,Antagonism,NA,NA,NA,NA,NA
Fusidic acid,Mecillinam,0.145957562,0.107305558,NA,NA,NA,NA,0.005217578,NA,NA,NA,NA,NA,Antagonism,NA,NA,NA,NA,NA
Fusidic acid,Curcumin,0.190030376,-0.071222414,NA,NA,NA,NA,0.006321736,NA,NA,NA,NA,NA,Antagonism,NA,NA,NA,NA,NA
Cefotaxime,Trimethoprim,0.132932792,0.082081466,NA,NA,NA,NA,0.012435227,NA,NA,NA,NA,NA,Antagonism,NA,NA,NA,NA,NA
Cefotaxime,Procaine,0.115584276,0.107859021,NA,NA,NA,NA,0.001666307,0.017498889,NA,NA,NA,NA,Antagonism,Antagonism,NA,NA,NA,NA
Cefotaxime,Caffeine,0.103274375,-0.040924106,NA,NA,NA,NA,0.008407909,NA,NA,NA,NA,NA,Antagonism,NA,NA,NA,NA,NA
Cefotaxime,Mitomycin C,0.13089821,-0.05956784,NA,NA,NA,NA,0.001666307,NA,NA,NA,NA,NA,Antagonism,NA,NA,NA,NA,NA
Cefotaxime,Curcumin,0.16516404,0.23721209,NA,NA,NA,NA,0.03203013,0.010822467,NA,NA,NA,NA,Antagonism,Antagonism,NA,NA,NA,NA
Benzalkonium,Trimethoprim,0.150714113,0.10543437,NA,NA,NA,NA,0.001666307,0.002551072,NA,NA,NA,NA,Antagonism,Antagonism,NA,NA,NA,NA
Benzalkonium,Mecillinam,0.1788644,-0.002142373,NA,NA,NA,NA,0.023345905,NA,NA,NA,NA,NA,Antagonism,NA,NA,NA,NA,NA
Cefaclor,Spiramycin,0.101955643,0.033722429,NA,NA,NA,NA,0.009412936,NA,NA,NA,NA,NA,Antagonism,NA,NA,NA,NA,NA
Cefaclor,Erythromycin,0.128209819,-0.055069105,NA,NA,NA,NA,0.019773113,NA,NA,NA,NA,NA,Antagonism,NA,NA,NA,NA,NA
Cefaclor,Caffeine,0.101410385,0.02699236,NA,NA,NA,NA,0.049049125,NA,NA,NA,NA,NA,Antagonism,NA,NA,NA,NA,NA
Cefaclor,Puromycin,0.108788421,-0.132439338,NA,NA,NA,NA,0.017082736,NA,NA,NA,NA,NA,Antagonism,NA,NA,NA,NA,NA
Clindamycin,Bleomycin,0.175853469,0.117280713,NA,NA,NA,NA,0.015287108,NA,NA,NA,NA,NA,Antagonism,NA,NA,NA,NA,NA
Spiramycin,Metformin,0.166334243,0.059783451,NA,NA,NA,NA,0.009412936,NA,NA,NA,NA,NA,Antagonism,NA,NA,NA,NA,NA
Erythromycin,Imipenem,0.141849378,0.044044348,NA,NA,NA,NA,0.009412936,NA,NA,NA,NA,NA,Antagonism,NA,NA,NA,NA,NA
Erythromycin,Bleomycin,0.134824066,0.073677115,NA,NA,NA,NA,0.017082736,NA,NA,NA,NA,NA,Antagonism,NA,NA,NA,NA,NA
Erythromycin,Metformin,0.199555579,0.117796722,NA,NA,NA,NA,0.001666307,NA,NA,NA,NA,NA,Antagonism,NA,NA,NA,NA,NA
Erythromycin,Acetylsalisylic acid,0.126230727,0.068220001,NA,NA,NA,NA,0.02169783,NA,NA,NA,NA,NA,Antagonism,NA,NA,NA,NA,NA
Erythromycin,Gentamicin,0.329798453,0.137696871,NA,NA,NA,NA,0.027833079,0.01331946,NA,NA,NA,NA,Antagonism,Antagonism,NA,NA,NA,NA
Trimethoprim,Clarithromycin,0.115779417,-0.064899065,NA,NA,NA,NA,0.001666307,NA,NA,NA,NA,NA,Antagonism,NA,NA,NA,NA,NA
Trimethoprim,CHIR-90,0.291428398,0.063130029,NA,NA,NA,NA,0.001666307,NA,NA,NA,NA,NA,Antagonism,NA,NA,NA,NA,NA
Procaine,Tobramycin,0.183708323,0.043001387,NA,NA,NA,NA,0.045236399,NA,NA,NA,NA,NA,Antagonism,NA,NA,NA,NA,NA
Procaine,Imipenem,0.214471764,0.042234499,NA,NA,NA,NA,0.001666307,NA,NA,NA,NA,NA,Antagonism,NA,NA,NA,NA,NA
Vanillin,Bleomycin,0.139216596,0.039851418,NA,NA,NA,NA,0.029415426,NA,NA,NA,NA,NA,Antagonism,NA,NA,NA,NA,NA
Vanillin,CHIR-90,0.376691892,0.324311918,NA,NA,NA,NA,0.002956627,0.010822467,NA,NA,NA,NA,Antagonism,Antagonism,NA,NA,NA,NA
Levofloxacin,Colistin,0.228830055,0.103560504,NA,NA,NA,NA,0.028629671,NA,NA,NA,NA,NA,Antagonism,NA,NA,NA,NA,NA
Mecillinam,Clarithromycin,0.146150086,0.109060056,NA,NA,NA,NA,0.001666307,NA,NA,NA,NA,NA,Antagonism,NA,NA,NA,NA,NA
Mecillinam,Puromycin,0.166689783,0.2506743,NA,NA,NA,NA,0.001666307,0.001463305,NA,NA,NA,NA,Antagonism,Antagonism,NA,NA,NA,NA
Mecillinam,Azithromycin,0.375643246,0.321433973,NA,NA,NA,NA,0.008407909,0.011726285,NA,NA,NA,NA,Antagonism,Antagonism,NA,NA,NA,NA
Mecillinam,Curcumin,0.303813222,0.259860145,NA,NA,NA,NA,0.045236399,NA,NA,NA,NA,NA,Antagonism,NA,NA,NA,NA,NA
A22,Puromycin,0.100338263,0.107671009,NA,NA,NA,NA,0.029415426,NA,NA,NA,NA,NA,Antagonism,NA,NA,NA,NA,NA
A22,Metformin,0.446933915,0.045644805,NA,NA,NA,NA,0.019773113,NA,NA,NA,NA,NA,Antagonism,NA,NA,NA,NA,NA
A22,Curcumin,0.452555562,0.20491799,NA,NA,NA,NA,0.047612356,NA,NA,NA,NA,NA,Antagonism,NA,NA,NA,NA,NA
A22,Acetylsalisylic acid,0.404815483,0.324571584,NA,NA,NA,NA,0.001666307,0.001463305,NA,NA,NA,NA,Antagonism,Antagonism,NA,NA,NA,NA
Loperamide,Bleomycin,0.10209491,0.050543598,NA,NA,NA,NA,0.006321736,NA,NA,NA,NA,NA,Antagonism,NA,NA,NA,NA,NA
Tobramycin,Metformin,0.406313547,0.028514272,NA,NA,NA,NA,0.001666307,NA,NA,NA,NA,NA,Antagonism,NA,NA,NA,NA,NA
EGCG,Aztreonam,0.199263609,0.105041889,NA,NA,NA,NA,0.01041944,0.040128658,NA,NA,NA,NA,Antagonism,Antagonism,NA,NA,NA,NA
Rifampicin,Bleomycin,0.248481118,0.248546663,NA,NA,NA,NA,0.001666307,0.001463305,NA,NA,NA,NA,Antagonism,Antagonism,NA,NA,NA,NA
Rifampicin,Metformin,0.194696747,0.20157339,NA,NA,NA,NA,0.002956627,0.002551072,NA,NA,NA,NA,Antagonism,Antagonism,NA,NA,NA,NA
Rifampicin,Gentamicin,0.30332613,0.160693464,NA,NA,NA,NA,0.001666307,NA,NA,NA,NA,NA,Antagonism,NA,NA,NA,NA,NA
Aztreonam,Bleomycin,0.208622399,0.137130003,NA,NA,NA,NA,0.014413559,NA,NA,NA,NA,NA,Antagonism,NA,NA,NA,NA,NA
Aztreonam,Azithromycin,0.184964465,0.234163304,NA,NA,NA,NA,0.007360115,0.001463305,NA,NA,NA,NA,Antagonism,Antagonism,NA,NA,NA,NA
Aztreonam,Curcumin,0.525035458,0.563258021,NA,NA,NA,NA,0.001666307,0.001463305,NA,NA,NA,NA,Antagonism,Antagonism,NA,NA,NA,NA
Aztreonam,Berberine,0.210409655,0.431862848,NA,NA,NA,NA,0.004098642,0.001463305,NA,NA,NA,NA,Antagonism,Antagonism,NA,NA,NA,NA
Clarithromycin,Cerulenin,0.133888112,0.080805,NA,NA,NA,NA,0.001666307,NA,NA,NA,NA,NA,Antagonism,NA,NA,NA,NA,NA
Clarithromycin,Metformin,0.188011691,0.130507188,NA,NA,NA,NA,0.002956627,0.019096828,NA,NA,NA,NA,Antagonism,Antagonism,NA,NA,NA,NA
Bleomycin,Metformin,0.224553458,0.106914138,NA,NA,NA,NA,0.001666307,NA,NA,NA,NA,NA,Antagonism,NA,NA,NA,NA,NA
Bleomycin,Acetylsalisylic acid,0.230563081,0.221086082,NA,NA,NA,NA,0.002956627,0.001463305,NA,NA,NA,NA,Antagonism,Antagonism,NA,NA,NA,NA
Cycloserine D,Procaine,0.157226375,0.042043068,NA,NA,NA,NA,0.001567376,NA,NA,NA,NA,NA,Antagonism,NA,NA,NA,NA,NA
Amoxicillin,Spectinomycin,0.171696822,0.076680145,NA,NA,NA,NA,0.013792906,NA,NA,NA,NA,NA,Antagonism,NA,NA,NA,NA,NA
Ciprofloxacin,Caffeine,0.369070437,0.360737715,NA,NA,NA,NA,0.011346729,0.004305125,NA,NA,NA,NA,Antagonism,Antagonism,NA,NA,NA,NA
Cycloserine D,Erythromycin,0.164045947,0.06061542,NA,NA,NA,NA,0.028637814,NA,NA,NA,NA,NA,Antagonism,NA,NA,NA,NA,NA
Cycloserine D,Chlorhexidine,0.636045289,0.100948791,NA,NA,NA,NA,0.011346729,0.041465152,NA,NA,NA,NA,Antagonism,Antagonism,NA,NA,NA,NA
Oxacillin,Polymyxin B,0.642289018,0.046590749,NA,NA,NA,NA,0.010494603,NA,NA,NA,NA,NA,Antagonism,NA,NA,NA,NA,NA
Polymyxin B,Cefaclor,0.308764329,0.065070653,NA,NA,NA,NA,0.00387234,NA,NA,NA,NA,NA,Antagonism,NA,NA,NA,NA,NA
Amikacin,Clindamycin,0.353934271,-0.055997352,NA,NA,NA,NA,0.001567376,NA,NA,NA,NA,NA,Antagonism,NA,NA,NA,NA,NA
Amikacin,Spiramycin,0.189236848,-0.047533459,NA,NA,NA,NA,0.036049642,NA,NA,NA,NA,NA,Antagonism,NA,NA,NA,NA,NA
Cefotaxime,Reserpine,0.184757422,0.049639406,NA,NA,NA,NA,0.023442979,NA,NA,NA,NA,NA,Antagonism,NA,NA,NA,NA,NA
Clindamycin,Tobramycin,0.735726819,0.050289928,NA,NA,NA,NA,0.002742908,NA,NA,NA,NA,NA,Antagonism,NA,NA,NA,NA,NA
Paraquat,Bleomycin,0.171097454,0.121087454,NA,NA,NA,NA,0.019667663,NA,NA,NA,NA,NA,Antagonism,NA,NA,NA,NA,NA
Tobramycin,Chlorhexidine,0.187130252,0.056030628,NA,NA,NA,NA,0.017241133,NA,NA,NA,NA,NA,Antagonism,NA,NA,NA,NA,NA
Tobramycin,Tigecycline,0.224479699,0.041968797,NA,NA,NA,NA,0.016520021,NA,NA,NA,NA,NA,Antagonism,NA,NA,NA,NA,NA
Puromycin,Imipenem,0.128156409,0.082140569,NA,NA,NA,NA,0.027466908,NA,NA,NA,NA,NA,Antagonism,NA,NA,NA,NA,NA
Amoxicillin,Penicillin G,-0.095728565,-0.218339027,NA,NA,NA,NA,NA,0.03445807,NA,NA,NA,NA,NA,Synergy,NA,NA,NA,NA
Chloramphenicol,Streptozotocin,-0.127268857,-0.192910718,NA,NA,NA,NA,NA,0.005418631,NA,NA,NA,NA,NA,Synergy,NA,NA,NA,NA
Doxycycline,Fusidic acid,-0.350103612,-0.289446771,NA,NA,NA,NA,NA,0.012575588,NA,NA,NA,NA,NA,Synergy,NA,NA,NA,NA
Doxycycline,Erythromycin,-0.059127325,-0.207113429,NA,NA,NA,NA,NA,0.002551072,NA,NA,NA,NA,NA,Synergy,NA,NA,NA,NA
Fosfomycin,Loperamide,-0.064804403,-0.130856395,NA,NA,NA,NA,NA,0.003544318,NA,NA,NA,NA,NA,Synergy,NA,NA,NA,NA
Oxacillin,Cefotaxime,-0.113662139,-0.311389518,NA,NA,NA,NA,NA,0.001463305,NA,NA,NA,NA,NA,Synergy,NA,NA,NA,NA
Oxacillin,Piperacillin,-0.073572198,-0.194892816,NA,NA,NA,NA,NA,0.001463305,NA,NA,NA,NA,NA,Synergy,NA,NA,NA,NA
Oxacillin,Aztreonam,-0.101023611,-0.159714079,NA,NA,NA,NA,NA,0.001463305,NA,NA,NA,NA,NA,Synergy,NA,NA,NA,NA
Oxacillin,CHIR-90,-0.013389895,-0.281950638,NA,NA,NA,NA,NA,0.001463305,NA,NA,NA,NA,NA,Synergy,NA,NA,NA,NA
Bacitracin,Cefotaxime,-0.060375749,-0.120566832,NA,NA,NA,NA,NA,0.002551072,NA,NA,NA,NA,NA,Synergy,NA,NA,NA,NA
Bacitracin,Caffeine,-0.06659339,-0.105758695,NA,NA,NA,NA,NA,0.041530593,NA,NA,NA,NA,NA,Synergy,NA,NA,NA,NA
Polymyxin B,Trimethoprim,0.056777194,-0.116026946,NA,NA,NA,NA,NA,0.04778408,NA,NA,NA,NA,NA,Synergy,NA,NA,NA,NA
Polymyxin B,Nitrofurantoin,0.025603931,-0.139924485,NA,NA,NA,NA,NA,0.002551072,NA,NA,NA,NA,NA,Synergy,NA,NA,NA,NA
Fusidic acid,Cefotaxime,0.052964039,-0.162183554,NA,NA,NA,NA,NA,0.002551072,NA,NA,NA,NA,NA,Synergy,NA,NA,NA,NA
Fusidic acid,Verapamil,-0.103290536,-0.219391527,NA,NA,NA,NA,NA,0.002551072,NA,NA,NA,NA,NA,Synergy,NA,NA,NA,NA
Fusidic acid,Piperacillin,-0.105893627,-0.211999367,NA,NA,NA,NA,NA,0.002551072,NA,NA,NA,NA,NA,Synergy,NA,NA,NA,NA
Fusidic acid,Nitrofurantoin,0.108532057,-0.162405416,NA,NA,NA,NA,NA,0.003544318,NA,NA,NA,NA,NA,Synergy,NA,NA,NA,NA
