Combination	Bliss_interaction_score	p_adjusted	Strain	Type	Screen
Fluorouracil_Lincomycin	0.100936147416993	1	S. aureus DSM 20231	neutral	non_antibiotic_screen
Fluorouracil_Loperamide	0.194907328261963	0.0026742423796836	S. aureus DSM 20231	antagonism	non_antibiotic_screen
Fluorouracil_Linezolid	-0.0621945441545817	1	S. aureus DSM 20231	neutral	non_antibiotic_screen
Fluorouracil_Miconazole	0.0919896764098731	1	S. aureus DSM 20231	neutral	non_antibiotic_screen
Fluorouracil_MitomycinC	-0.0643064846692446	1	S. aureus DSM 20231	neutral	non_antibiotic_screen
Fluorouracil_Metronidazole	0.084972233589864	0.850716460920958	S. aureus DSM 20231	neutral	non_antibiotic_screen
Fluorouracil_Pseudomonic acid	0.0327653311984913	1	S. aureus DSM 20231	neutral	non_antibiotic_screen
Fluorouracil_Moxifloxacin	-0.062922905901222	1	S. aureus DSM 20231	neutral	non_antibiotic_screen
Fluorouracil_Nitrofurantoin	-0.204681889220299	0.00470297797806426	S. aureus DSM 20231	synergy	non_antibiotic_screen
Fluorouracil_Nisin	-0.0895804757154743	1	S. aureus DSM 20231	neutral	non_antibiotic_screen
Fluorouracil_Novobiocin	0.0704470756584644	1	S. aureus DSM 20231	neutral	non_antibiotic_screen
Fluorouracil_Oritavancin	-0.0966636975957927	0.0607435054813846	S. aureus DSM 20231	neutral	non_antibiotic_screen
Fluorouracil_Oxacillin	-0.0509359390342832	1	S. aureus DSM 20231	neutral	non_antibiotic_screen
Fluorouracil_PenicillinG	-0.0904094480583898	0.382662756219266	S. aureus DSM 20231	neutral	non_antibiotic_screen
Fluorouracil_Phleomycin	-0.0607019319216596	1	S. aureus DSM 20231	neutral	non_antibiotic_screen
Fluorouracil_Paraquat	0.0712679940431606	1	S. aureus DSM 20231	neutral	non_antibiotic_screen
Fluorouracil_Procaine	0.0554331803140505	1	S. aureus DSM 20231	neutral	non_antibiotic_screen
Fluorouracil_Pristinamycin	0.0809317472580117	1	S. aureus DSM 20231	neutral	non_antibiotic_screen
Fluorouracil_Puromycin	0.0885813336213262	1	S. aureus DSM 20231	neutral	non_antibiotic_screen
Fluorouracil_Pyocyanin	0.0562170559154085	1	S. aureus DSM 20231	neutral	non_antibiotic_screen
Fluorouracil_Rifampicin	-0.175321551537699	0.492533078847593	S. aureus DSM 20231	neutral	non_antibiotic_screen
Fluorouracil_Sulfamethoxazol	0.0995326985485828	1	S. aureus DSM 20231	neutral	non_antibiotic_screen
Fluorouracil_Spectinomycin	-0.08119270930052	1	S. aureus DSM 20231	neutral	non_antibiotic_screen
Fluorouracil_Streptomycin	-0.184712531100609	0.0026742423796836	S. aureus DSM 20231	synergy	non_antibiotic_screen
Fluorouracil_Streptozotocin	-0.0360677766843264	1	S. aureus DSM 20231	neutral	non_antibiotic_screen
Fluorouracil_Teicoplanin	-0.189935913646167	0.0997031331349624	S. aureus DSM 20231	neutral	non_antibiotic_screen
Fluorouracil_Telithromycin	-0.126993337668683	0.63427874080062	S. aureus DSM 20231	neutral	non_antibiotic_screen
Fluorouracil_Tigecycline	-0.0640183034133665	1	S. aureus DSM 20231	neutral	non_antibiotic_screen
Fluorouracil_Trimethoprim	-0.0913255038965717	1	S. aureus DSM 20231	neutral	non_antibiotic_screen
Fluorouracil_Triclosan	-0.0619147073573484	1	S. aureus DSM 20231	neutral	non_antibiotic_screen
Fluorouracil_Tedizolid	-0.0773991413547409	1	S. aureus DSM 20231	neutral	non_antibiotic_screen
Fluorouracil_U1	-0.0876363677707386	1	S. aureus DSM 20231	neutral	non_antibiotic_screen
Fluorouracil_Vancomycin	0.0550612806018089	1	S. aureus DSM 20231	neutral	non_antibiotic_screen
Fluorouracil_Virginiamycin M1	0.0598465709032124	1	S. aureus DSM 20231	neutral	non_antibiotic_screen
Alfacalcidol_Amoxicillin	0.0894805131608235	1	S. aureus DSM 20231	neutral	non_antibiotic_screen
Acetylsalicylicacid_Alfacalcidol	-0.294366019298463	0.0026742423796836	S. aureus DSM 20231	synergy	non_antibiotic_screen
Alfacalcidol_Auranofin	0.0588701604426155	1	S. aureus DSM 20231	neutral	non_antibiotic_screen
Alfacalcidol_Azithromycin	0.0919412699400552	0.294839729510195	S. aureus DSM 20231	neutral	non_antibiotic_screen
Alfacalcidol_Bacitracin	-0.083928629640585	0.296571685113368	S. aureus DSM 20231	neutral	non_antibiotic_screen
Alfacalcidol_Benzalkonium	0.0424419271939782	1	S. aureus DSM 20231	neutral	non_antibiotic_screen
Alfacalcidol_CCCP	0.0660125801872747	0.675003617199965	S. aureus DSM 20231	neutral	non_antibiotic_screen
Alfacalcidol_Chloramphenicol	0.0833955347996165	1	S. aureus DSM 20231	neutral	non_antibiotic_screen
Alfacalcidol_Ciprofloxacin	0.11753519775505	0.21918009710364	S. aureus DSM 20231	neutral	non_antibiotic_screen
Alfacalcidol_Clavulanic	0.0228980008855418	1	S. aureus DSM 20231	neutral	non_antibiotic_screen
Alfacalcidol_Clindamycin	-0.0643654472411266	1	S. aureus DSM 20231	neutral	non_antibiotic_screen
Alfacalcidol_Clarithromycin	0.157145933623458	0.445445363720509	S. aureus DSM 20231	neutral	non_antibiotic_screen
Alfacalcidol_Clortetracycline	-0.0424661678507791	1	S. aureus DSM 20231	neutral	non_antibiotic_screen
Alfacalcidol_Cefotaxime	-0.134936793679228	0.18799201160965	S. aureus DSM 20231	neutral	non_antibiotic_screen
Alfacalcidol_Cefuroxime	-0.134418369928855	0.394604017859084	S. aureus DSM 20231	neutral	non_antibiotic_screen
Alfacalcidol_Daptomycin	0.0424419271939782	1	S. aureus DSM 20231	neutral	non_antibiotic_screen
Alfacalcidol_CycloserineD	0.0198507756853087	1	S. aureus DSM 20231	neutral	non_antibiotic_screen
Alfacalcidol_Doxycycline	0.0683539483714544	1	S. aureus DSM 20231	neutral	non_antibiotic_screen
Alfacalcidol_Doxorubicin	0.0566349003436433	0.771756157717563	S. aureus DSM 20231	neutral	non_antibiotic_screen
Alfacalcidol_EGCG	0.069613842917251	1	S. aureus DSM 20231	neutral	non_antibiotic_screen
Alfacalcidol_Erythromycin	0.104493638637096	1	S. aureus DSM 20231	neutral	non_antibiotic_screen
Alfacalcidol_Cefepime	-0.0369193452364947	1	S. aureus DSM 20231	neutral	non_antibiotic_screen
Alfacalcidol_Fosfomycin	-0.0913325658428314	0.922777350116128	S. aureus DSM 20231	neutral	non_antibiotic_screen
Alfacalcidol_Fusidic acid	-0.0633113895043286	0.930216609730227	S. aureus DSM 20231	neutral	non_antibiotic_screen
Alfacalcidol_Gentamicin	-0.195153668718022	1	S. aureus DSM 20231	neutral	non_antibiotic_screen
Alfacalcidol_Imipenem	0.0234687207154741	1	S. aureus DSM 20231	neutral	non_antibiotic_screen
Alfacalcidol_Levofloxacin	0.198613011135118	0.0882791720827917	S. aureus DSM 20231	neutral	non_antibiotic_screen
Alfacalcidol_Cephalexin	0.0228980008855418	1	S. aureus DSM 20231	neutral	non_antibiotic_screen
Alfacalcidol_Lincomycin	0.151809854260895	0.187531246875312	S. aureus DSM 20231	neutral	non_antibiotic_screen
Alfacalcidol_Loperamide	-0.295788658747528	1	S. aureus DSM 20231	neutral	non_antibiotic_screen
Alfacalcidol_Linezolid	0.147861197954508	1	S. aureus DSM 20231	neutral	non_antibiotic_screen
Alfacalcidol_Miconazole	0.0228980008855418	1	S. aureus DSM 20231	neutral	non_antibiotic_screen
Alfacalcidol_MitomycinC	0.130363125772888	0.516734697910108	S. aureus DSM 20231	neutral	non_antibiotic_screen
Alfacalcidol_Metronidazole	0.0228980008855418	1	S. aureus DSM 20231	neutral	non_antibiotic_screen
Alfacalcidol_Pseudomonic acid	0.0263670565757109	1	S. aureus DSM 20231	neutral	non_antibiotic_screen
Alfacalcidol_Moxifloxacin	0.0806142805273654	1	S. aureus DSM 20231	neutral	non_antibiotic_screen
Alfacalcidol_Nitrofurantoin	0.188904595239123	0.00470297797806426	S. aureus DSM 20231	antagonism	non_antibiotic_screen
Alfacalcidol_Nisin	0.0599152113109162	1	S. aureus DSM 20231	neutral	non_antibiotic_screen
Alfacalcidol_Novobiocin	0.0236239373082172	1	S. aureus DSM 20231	neutral	non_antibiotic_screen
Alfacalcidol_Oritavancin	-0.0668408722238296	1	S. aureus DSM 20231	neutral	non_antibiotic_screen
Alfacalcidol_Oxacillin	0.0297985972634208	1	S. aureus DSM 20231	neutral	non_antibiotic_screen
Alfacalcidol_PenicillinG	0.119853726628944	1	S. aureus DSM 20231	neutral	non_antibiotic_screen
Alfacalcidol_Phleomycin	-0.202751691902158	0.289473093506976	S. aureus DSM 20231	neutral	non_antibiotic_screen
Alfacalcidol_Paraquat	0.0250336107347557	1	S. aureus DSM 20231	neutral	non_antibiotic_screen
Alfacalcidol_Procaine	0.0228980008855418	1	S. aureus DSM 20231	neutral	non_antibiotic_screen
Alfacalcidol_Pristinamycin	0.0235459605033643	1	S. aureus DSM 20231	neutral	non_antibiotic_screen
Alfacalcidol_Puromycin	0.0237197689473658	1	S. aureus DSM 20231	neutral	non_antibiotic_screen
Alfacalcidol_Pyocyanin	0.0576022415515546	1	S. aureus DSM 20231	neutral	non_antibiotic_screen
Alfacalcidol_Rifampicin	0.0228980008855418	1	S. aureus DSM 20231	neutral	non_antibiotic_screen
Alfacalcidol_Sulfamethoxazol	0.0406871338976294	1	S. aureus DSM 20231	neutral	non_antibiotic_screen
Alfacalcidol_Spectinomycin	0.0740626717889484	0.897627998757303	S. aureus DSM 20231	neutral	non_antibiotic_screen
Alfacalcidol_Streptomycin	0.143875015308263	0.214171933190313	S. aureus DSM 20231	neutral	non_antibiotic_screen
Alfacalcidol_Streptozotocin	0.0577735121130603	1	S. aureus DSM 20231	neutral	non_antibiotic_screen
Alfacalcidol_Teicoplanin	0.0422719177433107	1	S. aureus DSM 20231	neutral	non_antibiotic_screen
Alfacalcidol_Telithromycin	0.0885480842645742	1	S. aureus DSM 20231	neutral	non_antibiotic_screen
Alfacalcidol_Tigecycline	0.0501948818763946	1	S. aureus DSM 20231	neutral	non_antibiotic_screen
Alfacalcidol_Trimethoprim	-0.151418391543659	1	S. aureus DSM 20231	neutral	non_antibiotic_screen
Alfacalcidol_Triclosan	0.0421687662593319	1	S. aureus DSM 20231	neutral	non_antibiotic_screen
Alfacalcidol_Tedizolid	0.117796285861356	0.953285480700486	S. aureus DSM 20231	neutral	non_antibiotic_screen
Alfacalcidol_U1	0.0356506329115003	1	S. aureus DSM 20231	neutral	non_antibiotic_screen
Alfacalcidol_Vancomycin	0.0554645979023246	1	S. aureus DSM 20231	neutral	non_antibiotic_screen
Alfacalcidol_Virginiamycin M1	0.0405185898656353	1	S. aureus DSM 20231	neutral	non_antibiotic_screen
Amoxicillin_Atorvastatin	0.123410044616382	0.489143242538489	S. aureus DSM 20231	neutral	non_antibiotic_screen
Amoxicillin_Benzbromarone	0.0764624324544998	1	S. aureus DSM 20231	neutral	non_antibiotic_screen
Amoxicillin_Caffeine	-0.0871993722525261	0.569496221109598	S. aureus DSM 20231	neutral	non_antibiotic_screen
Amoxicillin_Celecoxib	0.181068084022375	0.0026742423796836	S. aureus DSM 20231	antagonism	non_antibiotic_screen
Amoxicillin_Cilnidipine	-0.158391166907928	0.556854430643172	S. aureus DSM 20231	neutral	non_antibiotic_screen
Amoxicillin_Clomiphene	-0.236627148447377	0.00644345014317466	S. aureus DSM 20231	synergy	non_antibiotic_screen
Amoxicillin_Clopidogrel	-0.0878183258755963	1	S. aureus DSM 20231	neutral	non_antibiotic_screen
Amoxicillin_Chlorpromazine	-0.0957486239812473	1	S. aureus DSM 20231	neutral	non_antibiotic_screen
Amoxicillin_Diflunisal	0.203069276030893	0.0172640963751726	S. aureus DSM 20231	antagonism	non_antibiotic_screen
Amoxicillin_Diacerein	-0.191860946464285	0.0129891772727489	S. aureus DSM 20231	synergy	non_antibiotic_screen
Amoxicillin_Entacapone	0.0831343743284485	1	S. aureus DSM 20231	neutral	non_antibiotic_screen
Amoxicillin_Estradiol	0.174634690632175	0.147003263745482	S. aureus DSM 20231	neutral	non_antibiotic_screen
Amoxicillin_Felodipine	0.0692408471995378	1	S. aureus DSM 20231	neutral	non_antibiotic_screen
Amoxicillin_Gefitinib	-0.12254809298029	1	S. aureus DSM 20231	neutral	non_antibiotic_screen
Amoxicillin_Hexestrol	0.0878716532114594	1	S. aureus DSM 20231	neutral	non_antibiotic_screen
Amoxicillin_Ibuprofen	0.11642371091511	0.0882791720827917	S. aureus DSM 20231	neutral	non_antibiotic_screen
Amoxicillin_Loratadine	-0.0605082813639905	1	S. aureus DSM 20231	neutral	non_antibiotic_screen
Amoxicillin_Losartan	0.0694856516759521	1	S. aureus DSM 20231	neutral	non_antibiotic_screen
Amoxicillin_Loxapine	-0.0505453292085058	1	S. aureus DSM 20231	neutral	non_antibiotic_screen
Amoxicillin_Meclizine	-0.091665419102586	1	S. aureus DSM 20231	neutral	non_antibiotic_screen
Amoxicillin_Montelukast	0.104393952553821	0.687230269778778	S. aureus DSM 20231	neutral	non_antibiotic_screen
Amoxicillin_Methylprednisolone	-0.10964773432598	0.312939255524997	S. aureus DSM 20231	neutral	non_antibiotic_screen
Amoxicillin_Mesalamine	-0.0548448556699406	1	S. aureus DSM 20231	neutral	non_antibiotic_screen
Amoxicillin_Metformin	-0.0801449210284659	1	S. aureus DSM 20231	neutral	non_antibiotic_screen
Amoxicillin_Methotrexate	-0.145904337676021	0.79686815066855	S. aureus DSM 20231	neutral	non_antibiotic_screen
Amoxicillin_Naphazoline	0.085443003705679	1	S. aureus DSM 20231	neutral	non_antibiotic_screen
Amoxicillin_Nicotine	-0.0614845253830768	1	S. aureus DSM 20231	neutral	non_antibiotic_screen
Amoxicillin_Omeprazole	0.0659407976886441	1	S. aureus DSM 20231	neutral	non_antibiotic_screen
Amoxicillin_Oxymetazoline	0.0834125881595441	1	S. aureus DSM 20231	neutral	non_antibiotic_screen
Amoxicillin_Promethazine	0.145807166228815	1	S. aureus DSM 20231	neutral	non_antibiotic_screen
Amoxicillin_Quercetin	-0.111544111407886	0.157002904360727	S. aureus DSM 20231	neutral	non_antibiotic_screen
Amoxicillin_Salmeterol	0.0278442097227408	1	S. aureus DSM 20231	neutral	non_antibiotic_screen
Amoxicillin_Spironolactone	-0.101813147827361	1	S. aureus DSM 20231	neutral	non_antibiotic_screen
Amoxicillin_Sucrose	-0.119650308360622	0.897627998757303	S. aureus DSM 20231	neutral	non_antibiotic_screen
Amoxicillin_Tamoxifene	-0.149982496728057	0.0026742423796836	S. aureus DSM 20231	synergy	non_antibiotic_screen
Amoxicillin_Thymol	0.0770587012071431	1	S. aureus DSM 20231	neutral	non_antibiotic_screen
Amoxicillin_Ticagrelor	0.0855783248464616	1	S. aureus DSM 20231	neutral	non_antibiotic_screen
Amoxicillin_Tiratricol	0.0746793226797106	1	S. aureus DSM 20231	neutral	non_antibiotic_screen
Amoxicillin_Telmisartan	-0.0260592210274992	1	S. aureus DSM 20231	neutral	non_antibiotic_screen
Amoxicillin_Tolfenamic	0.157713282126667	0.402589413505663	S. aureus DSM 20231	neutral	non_antibiotic_screen
Amoxicillin_Troglitazone	-0.0534161186584987	1	S. aureus DSM 20231	neutral	non_antibiotic_screen
Amoxicillin_Verapamil	0.157320006024259	0.108028801080288	S. aureus DSM 20231	neutral	non_antibiotic_screen
Acetylsalicylicacid_Atorvastatin	0.183706303331593	0.0928587992264603	S. aureus DSM 20231	antagonism	non_antibiotic_screen
Acetylsalicylicacid_Benzbromarone	-0.309511864778183	0.0253395425484774	S. aureus DSM 20231	neutral	non_antibiotic_screen
Acetylsalicylicacid_Caffeine	-0.296057337208712	0.922777350116128	S. aureus DSM 20231	neutral	non_antibiotic_screen
Acetylsalicylicacid_Celecoxib	-0.100042838589203	1	S. aureus DSM 20231	neutral	non_antibiotic_screen
Acetylsalicylicacid_Cilnidipine	0.110935266045458	1	S. aureus DSM 20231	neutral	non_antibiotic_screen
Acetylsalicylicacid_Clomiphene	-0.15810338975575	0.481996244819962	S. aureus DSM 20231	neutral	non_antibiotic_screen
Acetylsalicylicacid_Clopidogrel	-0.148950400592392	1	S. aureus DSM 20231	neutral	non_antibiotic_screen
Acetylsalicylicacid_Chlorpromazine	0.0898436456563454	1	S. aureus DSM 20231	neutral	non_antibiotic_screen
Acetylsalicylicacid_Diflunisal	0.0915870430490495	1	S. aureus DSM 20231	neutral	non_antibiotic_screen
Acetylsalicylicacid_Diacerein	-0.413118179390459	0.479195323710872	S. aureus DSM 20231	neutral	non_antibiotic_screen
Acetylsalicylicacid_Entacapone	0.136950353046174	0.00981196844344343	S. aureus DSM 20231	antagonism	non_antibiotic_screen
Acetylsalicylicacid_Estradiol	0.158314388357872	0.0347924391234346	S. aureus DSM 20231	antagonism	non_antibiotic_screen
Acetylsalicylicacid_Felodipine	0.170159592732004	0.71122674361298	S. aureus DSM 20231	neutral	non_antibiotic_screen
Acetylsalicylicacid_Gefitinib	0.0944755200664934	1	S. aureus DSM 20231	neutral	non_antibiotic_screen
Acetylsalicylicacid_Hexestrol	-0.454242059300889	0.00470297797806426	S. aureus DSM 20231	synergy	non_antibiotic_screen
Acetylsalicylicacid_Ibuprofen	-0.275187517344131	0.0026742423796836	S. aureus DSM 20231	synergy	non_antibiotic_screen
Acetylsalicylicacid_Loratadine	0.177728368188541	1	S. aureus DSM 20231	neutral	non_antibiotic_screen
Acetylsalicylicacid_Losartan	0.181992394172337	0.0026742423796836	S. aureus DSM 20231	antagonism	non_antibiotic_screen
Acetylsalicylicacid_Loxapine	0.0867245505920694	0.402589413505663	S. aureus DSM 20231	neutral	non_antibiotic_screen
Acetylsalicylicacid_Meclizine	0.134899489196547	1	S. aureus DSM 20231	neutral	non_antibiotic_screen
Acetylsalicylicacid_Montelukast	0.126622052375497	0.18235502355057	S. aureus DSM 20231	neutral	non_antibiotic_screen
Acetylsalicylicacid_Methylprednisolone	-0.379804388484876	0.12602790353876	S. aureus DSM 20231	neutral	non_antibiotic_screen
Acetylsalicylicacid_Mesalamine	-0.0696495451707359	1	S. aureus DSM 20231	neutral	non_antibiotic_screen
Acetylsalicylicacid_Metformin	0.137694816282934	0.0969436157429553	S. aureus DSM 20231	neutral	non_antibiotic_screen
Acetylsalicylicacid_Methotrexate	-0.410099354811071	0.0144515349789524	S. aureus DSM 20231	synergy	non_antibiotic_screen
Acetylsalicylicacid_Naphazoline	0.0620499528953343	1	S. aureus DSM 20231	neutral	non_antibiotic_screen
Acetylsalicylicacid_Nicotine	-0.0542801855671158	1	S. aureus DSM 20231	neutral	non_antibiotic_screen
Acetylsalicylicacid_Omeprazole	0.12940199081558	1	S. aureus DSM 20231	neutral	non_antibiotic_screen
Acetylsalicylicacid_Oxymetazoline	0.0633331552255893	1	S. aureus DSM 20231	neutral	non_antibiotic_screen
Acetylsalicylicacid_Promethazine	0.177340568779114	0.651825780384926	S. aureus DSM 20231	neutral	non_antibiotic_screen
Acetylsalicylicacid_Quercetin	0.114900382610499	0.227989141384369	S. aureus DSM 20231	neutral	non_antibiotic_screen
Acetylsalicylicacid_Salmeterol	0.0752480726173108	1	S. aureus DSM 20231	neutral	non_antibiotic_screen
Acetylsalicylicacid_Spironolactone	-0.0856059476309705	1	S. aureus DSM 20231	neutral	non_antibiotic_screen
Acetylsalicylicacid_Sucrose	0.131134243507252	0.884995944849959	S. aureus DSM 20231	neutral	non_antibiotic_screen
Acetylsalicylicacid_Tamoxifene	0.186406557447528	0.860389308730317	S. aureus DSM 20231	neutral	non_antibiotic_screen
Acetylsalicylicacid_Thymol	-0.138452498568284	1	S. aureus DSM 20231	neutral	non_antibiotic_screen
Acetylsalicylicacid_Ticagrelor	-0.168049324046098	0.414841849148418	S. aureus DSM 20231	neutral	non_antibiotic_screen
Acetylsalicylicacid_Tiratricol	0.245018211917178	0.0954222598941519	S. aureus DSM 20231	neutral	non_antibiotic_screen
Acetylsalicylicacid_Telmisartan	0.0600085822029801	1	S. aureus DSM 20231	neutral	non_antibiotic_screen
Acetylsalicylicacid_Tolfenamic	-0.263474138174835	0.0452466601681064	S. aureus DSM 20231	synergy	non_antibiotic_screen
Acetylsalicylicacid_Troglitazone	0.0524643205326775	1	S. aureus DSM 20231	neutral	non_antibiotic_screen
Acetylsalicylicacid_Verapamil	0.055833764251276	1	S. aureus DSM 20231	neutral	non_antibiotic_screen
Atorvastatin_Auranofin	-0.0906457443983883	1	S. aureus DSM 20231	neutral	non_antibiotic_screen
Atorvastatin_Azithromycin	-0.0946639030510574	1	S. aureus DSM 20231	neutral	non_antibiotic_screen
Atorvastatin_Bacitracin	-0.064422718870636	1	S. aureus DSM 20231	neutral	non_antibiotic_screen
Atorvastatin_Benzalkonium	-0.045286969822551	1	S. aureus DSM 20231	neutral	non_antibiotic_screen
Atorvastatin_CCCP	0.0761121817781037	1	S. aureus DSM 20231	neutral	non_antibiotic_screen
Atorvastatin_Chloramphenicol	-0.0468156786036397	1	S. aureus DSM 20231	neutral	non_antibiotic_screen
Atorvastatin_Ciprofloxacin	0.076392898926727	1	S. aureus DSM 20231	neutral	non_antibiotic_screen
Atorvastatin_Clavulanic	-0.0551407700929066	1	S. aureus DSM 20231	neutral	non_antibiotic_screen
Atorvastatin_Clindamycin	0.0304739498016229	1	S. aureus DSM 20231	neutral	non_antibiotic_screen
Atorvastatin_Clarithromycin	0.0848946073152209	1	S. aureus DSM 20231	neutral	non_antibiotic_screen
Atorvastatin_Clortetracycline	0.145417408367004	1	S. aureus DSM 20231	neutral	non_antibiotic_screen
Atorvastatin_Cefotaxime	-0.167541096970705	0.018636645652205	S. aureus DSM 20231	synergy	non_antibiotic_screen
Atorvastatin_Cefuroxime	-0.107060433334567	0.728291627818883	S. aureus DSM 20231	neutral	non_antibiotic_screen
Atorvastatin_Daptomycin	-0.150572075214492	1	S. aureus DSM 20231	neutral	non_antibiotic_screen
Atorvastatin_CycloserineD	0.0521798303199053	1	S. aureus DSM 20231	neutral	non_antibiotic_screen
Atorvastatin_Doxycycline	-0.227117294495289	1	S. aureus DSM 20231	neutral	non_antibiotic_screen
Atorvastatin_Doxorubicin	-0.0605647511124681	1	S. aureus DSM 20231	neutral	non_antibiotic_screen
Atorvastatin_EGCG	-0.112984047241224	0.0503769442875532	S. aureus DSM 20231	synergy	non_antibiotic_screen
Atorvastatin_Erythromycin	-0.0897364757298159	1	S. aureus DSM 20231	neutral	non_antibiotic_screen
Atorvastatin_Cefepime	-0.0996299685103209	1	S. aureus DSM 20231	neutral	non_antibiotic_screen
Atorvastatin_Fosfomycin	0.118237825507957	1	S. aureus DSM 20231	neutral	non_antibiotic_screen
Atorvastatin_Fusidic acid	0.0967632483524443	1	S. aureus DSM 20231	neutral	non_antibiotic_screen
Atorvastatin_Gentamicin	-0.212778711251221	0.115641510282629	S. aureus DSM 20231	neutral	non_antibiotic_screen
Atorvastatin_Imipenem	-0.073625120358189	1	S. aureus DSM 20231	neutral	non_antibiotic_screen
Atorvastatin_Levofloxacin	0.0906993184630292	1	S. aureus DSM 20231	neutral	non_antibiotic_screen
Atorvastatin_Cephalexin	-0.0765557414563456	1	S. aureus DSM 20231	neutral	non_antibiotic_screen
Atorvastatin_Lincomycin	-0.263865551701904	0.409938434727956	S. aureus DSM 20231	neutral	non_antibiotic_screen
Atorvastatin_Loperamide	0.433604618786312	0.0432764415866106	S. aureus DSM 20231	neutral	non_antibiotic_screen
Atorvastatin_Linezolid	-0.141547016169495	0.0896112554809501	S. aureus DSM 20231	neutral	non_antibiotic_screen
Atorvastatin_Miconazole	0.0678761831325089	1	S. aureus DSM 20231	neutral	non_antibiotic_screen
Atorvastatin_MitomycinC	0.196969100049676	0.0421677638999385	S. aureus DSM 20231	antagonism	non_antibiotic_screen
Atorvastatin_Metronidazole	-0.0643337360678535	1	S. aureus DSM 20231	neutral	non_antibiotic_screen
Atorvastatin_Pseudomonic acid	0.0704658321821668	1	S. aureus DSM 20231	neutral	non_antibiotic_screen
Atorvastatin_Moxifloxacin	0.137814291513654	0.0368243175682432	S. aureus DSM 20231	neutral	non_antibiotic_screen
Atorvastatin_Nitrofurantoin	0.104438443456093	1	S. aureus DSM 20231	neutral	non_antibiotic_screen
Atorvastatin_Nisin	-0.342143223903825	1	S. aureus DSM 20231	neutral	non_antibiotic_screen
Atorvastatin_Novobiocin	0.0717799861662724	1	S. aureus DSM 20231	neutral	non_antibiotic_screen
Atorvastatin_Oritavancin	-0.114940957680801	1	S. aureus DSM 20231	neutral	non_antibiotic_screen
Atorvastatin_Oxacillin	0.116620834192325	0.792374131146991	S. aureus DSM 20231	neutral	non_antibiotic_screen
