Drug A,Drug B,organism ,value,type,method,PMID
Amikacin,Azithromycin,Escherichia coli iAi1,0.04,Additivity,Bliss,29973719
Amikacin,Erythromycin,Escherichia coli iAi1,0.05,Additivity,Bliss,29973719
Amikacin,Clarithromycin,Escherichia coli iAi1,-0.05,Additivity,Bliss,29973719
Amikacin,Nitrofurantoin,Escherichia coli iAi1,-0.31,Synergy,Bliss,29973719
Amikacin,Pyocyanin,Escherichia coli iAi1,-0.05,Additivity,Bliss,29973719
Amikacin,Chloramphenicol,Escherichia coli MG1655,2.73,Antagonism,,28383902
Amikacin,Spectinomycin,Escherichia coli MG1655,2.22,Antagonism,,28383902
Amikacin,Erythromycin,Escherichia coli MG1655,1.43,Antagonism,,28383902
Amikacin,Cefoxitin,Escherichia coli MG1655,1.37,Antagonism,,28383902
Amikacin,Rifampicin,Escherichia coli MG1655,1.1,Antagonism,,28383902
Amikacin,Vancomycin,Escherichia coli MG1655,1.06,Antagonism,,28383902
Amikacin,Roxithromycin,Escherichia coli MG1655,0.95,Additivity,,28383902
Amikacin,Tetracycline,Escherichia coli MG1655,0.78,Additivity,,28383902
Amikacin,Gentamicin,Escherichia coli MG1655,0.73,Additivity,,28383902
Amikacin,Nalidixic Acid,Escherichia coli MG1655,0.71,Additivity,,28383902
Amikacin,Levofloxacin,Escherichia coli MG1655,0.66,Additivity,,28383902
Amikacin,Oxacillin,Escherichia coli MG1655,0.54,Additivity,,28383902
Amikacin,Tobramycin,Escherichia coli MG1655,0.53,Additivity,,28383902
Amikacin,Kanamycin,Escherichia coli MG1655,0.1,Additivity,,28383902
Amikacin,Penicillin G,Escherichia coli MG1655,0.09,Additivity,,28383902
Amikacin,Ciprofloxacin,Escherichia coli MG1655,-0.02,Additivity,,28383902
Amikacin,Clarithromycin,Escherichia coli MG1655,-0.33,Synergy,,28383902
Amikacin,Trimethoprim,Escherichia coli MG1655,-0.34,Synergy,,28383902
Amikacin,Nitrofurantoin,Escherichia coli MG1655,-0.42,Synergy,,28383902
Amikacin,Fusidic Acid,Escherichia coli MG1655,-0.55,Synergy,,28383902
Amikacin,Mupirocin,Escherichia coli MG1655,-0.61,Synergy,,28383902
Amikacin,Chloramphenicol,Escherichia coli MG1655,2.73,Antagonism,,27222539
Amikacin,Spectinomycin,Escherichia coli MG1655,2.22,Antagonism,,27222539
Amikacin,Erythromycin,Escherichia coli MG1655,1.43,Antagonism,,27222539
Amikacin,Cefoxitin,Escherichia coli MG1655,1.37,Antagonism,,27222539
Amikacin,Rifampicin,Escherichia coli MG1655,1.1,Antagonism,,27222539
Amikacin,Vancomycin,Escherichia coli MG1655,1.06,Antagonism,,27222539
Amikacin,Tetracycline,Escherichia coli MG1655,0.78,Additivity,,27222539
Amikacin,Gentamicin,Escherichia coli MG1655,0.73,Additivity,,27222539
Amikacin,Nalidixic Acid,Escherichia coli MG1655,0.71,Additivity,,27222539
Amikacin,Levofloxacin,Escherichia coli MG1655,0.66,Additivity,,27222539
Amikacin,Oxacillin,Escherichia coli MG1655,0.54,Additivity,,27222539
Amikacin,Tobramycin,Escherichia coli MG1655,0.53,Additivity,,27222539
Amikacin,Ciprofloxacin,Escherichia coli MG1655,-0.02,Additivity,,27222539
Amikacin,Clarithromycin,Escherichia coli MG1655,-0.33,Synergy,,27222539
Amikacin,Trimethoprim,Escherichia coli MG1655,-0.34,Synergy,,27222539
Amikacin,Nitrofurantoin,Escherichia coli MG1655,-0.42,Synergy,,27222539
Amikacin,Fusidic Acid,Escherichia coli MG1655,-0.55,Synergy,,27222539
Amikacin,Tobramycin,Escherichia coli MG1655,nan,Synergy,Bliss,16550172
Amikacin,Streptomycin,Escherichia coli MG1655,nan,Synergy,Bliss,16550172
Amikacin,Bleomycin,Escherichia coli MG1655,nan,Antagonism,Bliss,16550172
Amikacin,Levofloxacin,Klebsiella pneumoniae,8,Antagonism,FICI,28207768
Amikacin,Levofloxacin,Multidrug-resistant Acinetobacter baumannii,1.1,Indifference,FICI,29872329
Amikacin,Levofloxacin,Multidrug-resistant Enterobacter cloacae,1.3,Indifference,FICI,29872329
Amikacin,Levofloxacin,Multidrug-resistant Escherichia coli,2.75,Indifference,FICI,29872329
Amikacin,Levofloxacin,Multidrug-resistant Klebsiella ornithinolytica,1.1,Indifference,FICI,29872329
Amikacin,Levofloxacin,Multidrug-resistant Klebsiella oxytoca,2,Indifference,FICI,29872329
Amikacin,Levofloxacin,Multidrug-resistant Klebsiella pneumoniae,1,Additivity,FICI,29872329
Amikacin,Levofloxacin,Multidrug-resistant Pseudomonas aeruginosa,0.6,Additivity,FICI,29872329
Amikacin,Levofloxacin,Mycobacterium fortuitum ATCC35752,1.01,Indifferent,FICI,28662943
Amikacin,Gatifloxacin,Mycobacterium fortuitum ATCC35752,1.01,Indifferent,FICI,28662943
Amikacin,Besifloxacin,Mycobacterium fortuitum ATCC35752,1.07,Indifferent,FICI,28662943
Amikacin,Levofloxacin,Mycobacterium fortuitum ATCC49404,0.5,Synergy,FICI,28662943
Amikacin,Gatifloxacin,Mycobacterium fortuitum ATCC49404,0.5,Synergy,FICI,28662943
Amikacin,Besifloxacin,Mycobacterium fortuitum ATCC49404,1.07,Indifferent,FICI,28662943
Amikacin,Levofloxacin,Proteus,8,Antagonism,FICI,28207768
Amikacin,Cefotaxime,Pseudomonas aeruginosa PA14,-0.33,Synergy,Bliss,29973719
Amikacin,Rifampicin,Pseudomonas aeruginosa PA14,0.18,Antagonism,Bliss,29973719
Amikacin,Azithromycin,Pseudomonas aeruginosa PA14,0.41,Antagonism,Bliss,29973719
Amikacin,Cefsulodin,Pseudomonas aeruginosa PA14,-0.17,Synergy,Bliss,29973719
Amikacin,Lmipenem,Pseudomonas aeruginosa PA14,0,Additivity,Bliss,29973719
Amikacin,Meropenem,Pseudomonas aeruginosa PA14,-0.04,Additivity,Bliss,29973719
Amikacin,Minocycline,Pseudomonas aeruginosa PA14,0.12,Additivity,Bliss,29973719
Amikacin,Daptomycin,Pseudomonas aeruginosa PA14,0.06,Additivity,Bliss,29973719
Amikacin,Tigecycline,Pseudomonas aeruginosa PA14,0.08,Additivity,Bliss,29973719
Amikacin,Colistin,Pseudomonas aeruginosa PA14,0,Additivity,Bliss,29973719
Amikacin,Bleomycin,Pseudomonas aeruginosa PA14,0.14,Antagonism,Bliss,29973719
Amikacin,Mecillinam,Pseudomonas aeruginosa PA14,0.11,Antagonism,Bliss,29973719
Amikacin,Tobramycin,Pseudomonas aeruginosa PA14,-0.13,Synergy,Bliss,29973719
Amikacin,Aztreonam,Pseudomonas aeruginosa PA14,-0.5,Synergy,Bliss,29973719
Amikacin,Nitrofurantoin,Pseudomonas aeruginosa PA14,-0.05,Additivity,Bliss,29973719
Amikacin,Chlorhexidine,Pseudomonas aeruginosa PA14,0.17,Antagonism,Bliss,29973719
Amikacin,Cefotaxime,Pseudomonas aeruginosa PAO1,-0.39,Synergy,Bliss,29973719
Amikacin,Rifampicin,Pseudomonas aeruginosa PAO1,0.15,Antagonism,Bliss,29973719
Amikacin,Azithromycin,Pseudomonas aeruginosa PAO1,0.69,Antagonism,Bliss,29973719
Amikacin,Cefsulodin,Pseudomonas aeruginosa PAO1,-0.06,Additivity,Bliss,29973719
Amikacin,Lmipenem,Pseudomonas aeruginosa PAO1,-0.1,Synergy,Bliss,29973719
Amikacin,Meropenem,Pseudomonas aeruginosa PAO1,-0.26,Synergy,Bliss,29973719
Amikacin,Minocycline,Pseudomonas aeruginosa PAO1,0.3,Antagonism,Bliss,29973719
Amikacin,Daptomycin,Pseudomonas aeruginosa PAO1,0.11,Antagonism,Bliss,29973719
Amikacin,Tigecycline,Pseudomonas aeruginosa PAO1,0.18,Antagonism,Bliss,29973719
Amikacin,Colistin,Pseudomonas aeruginosa PAO1,0.23,Antagonism,Bliss,29973719
Amikacin,Bleomycin,Pseudomonas aeruginosa PAO1,0.07,Additivity,Bliss,29973719
Amikacin,Mecillinam,Pseudomonas aeruginosa PAO1,0.1,Antagonism,Bliss,29973719
Amikacin,Tobramycin,Pseudomonas aeruginosa PAO1,-0.13,Synergy,Bliss,29973719
Amikacin,Aztreonam,Pseudomonas aeruginosa PAO1,-0.32,Synergy,Bliss,29973719
Amikacin,Nitrofurantoin,Pseudomonas aeruginosa PAO1,0.22,Antagonism,Bliss,29973719
Amikacin,Chlorhexidine,Pseudomonas aeruginosa PAO1,0.17,Antagonism,Bliss,29973719
Amikacin,Cefoperazone,Pseudomonas testosteroni,0.19,Synergy,FICI,10382886
Amikacin,Ceftriaxone,Pseudomonas testosteroni,0.75,Additivity,FICI,10382886
Amikacin,Ceftazidime,Pseudomonas testosteroni,0.31,Synergy,FICI,10382886
Amikacin,Levofloxacin,Salmonella typhimurium 14028,-0.42,Synergy,Bliss,29973719
Amikacin,Piperacillin,Salmonella typhimurium 14028,-0.17,Synergy,Bliss,29973719
Amikacin,Puromycin,Salmonella typhimurium 14028,-0.1,Additivity,Bliss,29973719
Amikacin,Erythromycin,Salmonella typhimurium 14028,-0.04,Additivity,Bliss,29973719
Amikacin,Clarithromycin,Salmonella typhimurium 14028,-0.05,Additivity,Bliss,29973719
Amikacin,Cefaclor,Salmonella typhimurium 14028,-0.16,Synergy,Bliss,29973719
Amikacin,Moxifloxacin,Salmonella typhimurium 14028,0.05,Additivity,Bliss,29973719
Amikacin,Tobramycin,Salmonella typhimurium 14028,-0.1,Synergy,Bliss,29973719
Amikacin,Aztreonam,Salmonella typhimurium 14028,-0.14,Synergy,Bliss,29973719
Amikacin,Chlorhexidine,Salmonella typhimurium 14028,0.04,Additivity,Bliss,29973719
Amikacin,Pyocyanin,Salmonella typhimurium 14028,-0.09,Additivity,Bliss,29973719
Amikacin,Levofloxacin,Salmonella typhimurium LT2,-0.36,Synergy,Bliss,29973719
Amikacin,Piperacillin,Salmonella typhimurium LT2,-0.4,Synergy,Bliss,29973719
Amikacin,Puromycin,Salmonella typhimurium LT2,-0.29,Synergy,Bliss,29973719
Amikacin,Erythromycin,Salmonella typhimurium LT2,0.16,Antagonism,Bliss,29973719
Amikacin,Clarithromycin,Salmonella typhimurium LT2,0.15,Antagonism,Bliss,29973719
Amikacin,Cefaclor,Salmonella typhimurium LT2,-0.11,Additivity,Bliss,29973719
Amikacin,Moxifloxacin,Salmonella typhimurium LT2,-0.3,Synergy,Bliss,29973719
Amikacin,Tobramycin,Salmonella typhimurium LT2,-0.33,Synergy,Bliss,29973719
Amikacin,Aztreonam,Salmonella typhimurium LT2,-0.31,Synergy,Bliss,29973719
Amikacin,Chlorhexidine,Salmonella typhimurium LT2,0.15,Antagonism,Bliss,29973719
Amikacin,Pyocyanin,Salmonella typhimurium LT2,0.24,Antagonism,Bliss,29973719
Amikacin,Ampicillin/Sulbactam,Acinetobacter,6,Antagonism,FICI,28207768
Amikacin,Ciprofloxacin,Acinetobacter baumannii,0.78,Additivity,FICI,32845920
Amikacin,Levofloxacin,Acinetobacter baumannii,1.57,Indifferent,FICI,32845920
Amikacin,Fosfomycin,Carbapenem,0.31,Synergy,FICI,33668905
Amikacin,Fosfomycin,Carbapenem,0.63,Additivity,FICI,33668905
Amikacin,Fosfomycin,Carbapenem,0.56,Additivity,FICI,33668905
Amikacin,Ampicillin/Sulbactam,Citrobacter,0.38,Synergy,FICI,28207768
Amikacin,Ampicillin/Sulbactam,Escherichia coli,4.25,Antagonism,FICI,28207768
Amikacin,Ciprofloxacin,Escherichia coli BW25113,-0.21,Synergy,Bliss,29973719
Amikacin,Amoxycillin,Escherichia coli BW25113,-0.13,Synergy,Bliss,29973719
Amikacin,Novobiocin,Escherichia coli BW25113,-0.12,Additivity,Bliss,29973719
Amikacin,Polymyxin B,Escherichia coli BW25113,0.13,Antagonism,Bliss,29973719
Amikacin,Fusidic Acid,Escherichia coli BW25113,-0.16,Synergy,Bliss,29973719
Amikacin,Doxycycline,Escherichia coli BW25113,-0.18,Additivity,Bliss,29973719
Amikacin,Ampicillin,Escherichia coli BW25113,nan,Additivity,Loewe,24867991
Amikacin,Piperacillin,Escherichia coli BW25113,nan,Antagonism,Loewe,24867991
Amikacin,Cefoxitin,Escherichia coli BW25113,nan,Antagonism,Loewe,24867991
Amikacin,Fosfomycin,Escherichia coli BW25113,nan,Antagonism,Loewe,24867991
Amikacin,Lomefloxacin,Escherichia coli BW25113,nan,Additivity,Loewe,24867991
Amikacin,Ciprofloxacin,Escherichia coli BW25113,nan,Additivity,Loewe,24867991
Amikacin,Nalidixic Acid,Escherichia coli BW25113,nan,Antagonism,Loewe,24867991
Amikacin,Nitrofurantoin,Escherichia coli BW25113,nan,Synergy,Loewe,24867991
Amikacin,Ciprofloxacin,Escherichia coli iAi1,-0.12,Synergy,Bliss,29973719
Amikacin,Novobiocin,Escherichia coli iAi1,-0.18,Synergy,Bliss,29973719
Amikacin,Polymyxin B,Escherichia coli iAi1,0.04,Additivity,Bliss,29973719
Amikacin,Amoxycillin,Escherichia coli iAi1,-0.08,Additivity,Bliss,29973719
Amikacin,Doxycycline,Escherichia coli iAi1,-0.21,Synergy,Bliss,29973719
Amikacin,Fusidic Acid,Escherichia coli iAi1,-0.16,Additivity,Bliss,29973719
Amikacin,Ampicillin,Escherichia coli MG1655,nan,Additivity,Bliss,16550172
Amikacin,Piperacillin,Escherichia coli MG1655,nan,Synergy,Bliss,16550172
Amikacin,Cefoxitin,Escherichia coli MG1655,nan,Synergy,Bliss,16550172
Amikacin,Clindamycin,Escherichia coli MG1655,nan,Additivity,Bliss,16550172
Amikacin,Spiramycin,Escherichia coli MG1655,nan,Antagonism,Bliss,16550172
Amikacin,Erythromycin,Escherichia coli MG1655,nan,Additivity,Bliss,16550172
Amikacin,Fusidic Acid,Escherichia coli MG1655,nan,Additivity,Bliss,16550172
Amikacin,Chloramphenicol,Escherichia coli MG1655,nan,Antagonism,Bliss,16550172
Amikacin,Doxycycline Hyclate,Escherichia coli MG1655,nan,Additivity,Bliss,16550172
Amikacin,Tetracycline,Escherichia coli MG1655,nan,Additivity,Bliss,16550172
Amikacin,Spectinomycin,Escherichia coli MG1655,nan,Antagonism,Bliss,16550172
Amikacin,Ciprofloxacin,Escherichia coli MG1655,nan,Synergy,Bliss,16550172
Amikacin,Lomefloxacin,Escherichia coli MG1655,nan,Additivity,Bliss,16550172
Amikacin,Nalidixic Acid,Escherichia coli MG1655,nan,Synergy,Bliss,16550172
Amikacin,Sulfamonomethoxine,Escherichia coli MG1655,nan,Synergy,Bliss,16550172
Amikacin,Trimethoprim,Escherichia coli MG1655,nan,Synergy,Bliss,16550172
Amikacin,Nitrofurantoin,Escherichia coli MG1655,nan,Synergy,Bliss,16550172
Amikacin,Ampicillin/Sulbactam,Klebsiella pneumoniae,4.5,Antagonism,FICI,28207768
Amikacin,Ampicillin/Sulbactam,Multidrug-resistant Acinetobacter baumannii,0.22,Synergy,FICI,29872329
Amikacin,Meropenem,Multidrug-resistant Acinetobacter baumannii,nan,Indifferent,FICI,29707286
Amikacin,Ampicillin/Sulbactam,Multidrug-resistant Enterobacter cloacae,0.5,Synergy,FICI,29872329
Amikacin,Ampicillin/Sulbactam,Multidrug-resistant Escherichia coli,1,Additivity,FICI,29872329
Amikacin,Ampicillin/Sulbactam,Multidrug-resistant Klebsiella ornithinolytica,0.75,Additivity,FICI,29872329
Amikacin,Ampicillin/Sulbactam,Multidrug-resistant Klebsiella oxytoca,1.1,Indifference,FICI,29872329
Amikacin,Ampicillin/Sulbactam,Multidrug-resistant Klebsiella pneumoniae,2,Indifference,FICI,29872329
Amikacin,Ampicillin/Sulbactam,Multidrug-resistant Pseudomonas aeruginosa,0.04,Synergy,FICI,29872329
Amikacin,D-Cycloserine,Mycobacterium tuberculosis,0,Additivity,,27222539
Amikacin,Isoniazid,Mycobacterium tuberculosis,0,Additivity,,27222539
Amikacin,Ampicillin/Sulbactam,Proteus,1.25,Indifferent,FICI,28207768
Amikacin,Ciprofloxacin,Pseudomonas aeruginosa,1,Additivity,FICI,33582141
Amikacin,Ciprofloxacin,Pseudomonas aeruginosa,nan,Synergy,FICI,2508546
Amikacin,Polymyxin B,Pseudomonas aeruginosa PA14,0.18,Additivity,Bliss,29973719
Amikacin,Chloramphenicol,Pseudomonas aeruginosa PA14,0.15,Antagonism,Bliss,29973719
Amikacin,Doxycycline,Pseudomonas aeruginosa PA14,0.33,Antagonism,Bliss,29973719
Amikacin,Spectinomycin,Pseudomonas aeruginosa PA14,0.23,Antagonism,Bliss,29973719
Amikacin,Fusidic Acid,Pseudomonas aeruginosa PA14,0.2,Antagonism,Bliss,29973719
Amikacin,Polymyxin B,Pseudomonas aeruginosa PAO1,0.21,Antagonism,Bliss,29973719
Amikacin,Chloramphenicol,Pseudomonas aeruginosa PAO1,0.1,Additivity,Bliss,29973719
Amikacin,Fusidic Acid,Pseudomonas aeruginosa PAO1,0.08,Additivity,Bliss,29973719
Amikacin,Spectinomycin,Pseudomonas aeruginosa PAO1,0.13,Antagonism,Bliss,29973719
Amikacin,Doxycycline,Pseudomonas aeruginosa PAO1,0.11,Antagonism,Bliss,29973719
Amikacin,Amoxycillin,Salmonella typhimurium 14028,-0.14,Synergy,Bliss,29973719
Amikacin,Novobiocin,Salmonella typhimurium 14028,-0.12,Synergy,Bliss,29973719
Amikacin,Fosfomycin,Salmonella typhimurium 14028,-0.13,Synergy,Bliss,29973719
Amikacin,Doxycycline,Salmonella typhimurium 14028,-0.14,Synergy,Bliss,29973719
Amikacin,Spectinomycin,Salmonella typhimurium 14028,-0.06,Additivity,Bliss,29973719
Amikacin,Amoxycillin,Salmonella typhimurium LT2,-0.12,Synergy,Bliss,29973719
Amikacin,Novobiocin,Salmonella typhimurium LT2,-0.06,Additivity,Bliss,29973719
Amikacin,Fosfomycin,Salmonella typhimurium LT2,-0.11,Additivity,Bliss,29973719
Amikacin,Doxycycline,Salmonella typhimurium LT2,-0.08,Additivity,Bliss,29973719
Amikacin,Spectinomycin,Salmonella typhimurium LT2,0.11,Antagonism,Bliss,29973719
Ampicillin/Sulbactam,Amikacin,Acinetobacter,6,Antagonism,FICI,28207768
Ampicillin/Sulbactam,Levofloxacin,Acinetobacter,3,Indifferent,FICI,28207768
Ampicillin/Sulbactam,Levofloxacin,Acinetobacter baumannii,0.25,Synergy,FICI,28775819
Ampicillin/Sulbactam,Tigecycline,Acinetobacter baumannii,0.75,Additivity,FICI,28775819
Ampicillin/Sulbactam,Amikacin,Citrobacter,0.38,Synergy,FICI,28207768
Ampicillin/Sulbactam,Levofloxacin,Citrobacter,1.5,Indifferent,FICI,28207768
Ampicillin/Sulbactam,Amikacin,Escherichia coli,4.25,Antagonism,FICI,28207768
Ampicillin/Sulbactam,Levofloxacin,Escherichia coli,8,Antagonism,FICI,28207768
Ampicillin,Piperacillin,Escherichia coli BW25113,nan,Additivity,Loewe,24867991
Ampicillin,Cefoxitin,Escherichia coli BW25113,nan,Additivity,Loewe,24867991
Ampicillin,Fosfomycin,Escherichia coli BW25113,nan,Antagonism,Loewe,24867991
Ampicillin,Lomefloxacin,Escherichia coli BW25113,nan,Antagonism,Loewe,24867991
Ampicillin,Ciprofloxacin,Escherichia coli BW25113,nan,Additivity,Loewe,24867991
Ampicillin,Nalidixic Acid,Escherichia coli BW25113,nan,Antagonism,Loewe,24867991
Ampicillin,Amikacin,Escherichia coli BW25113,nan,Additivity,Loewe,24867991
Ampicillin,Gentamicin,Escherichia coli BW25113,nan,Antagonism,Loewe,24867991
Ampicillin,Kanamycin,Escherichia coli BW25113,nan,Additivity,Loewe,24867991
Ampicillin,Tobramycin,Escherichia coli BW25113,nan,Antagonism,Loewe,24867991
Ampicillin,Streptomycin,Escherichia coli BW25113,nan,Antagonism,Loewe,24867991
Ampicillin,Tetracycline,Escherichia coli BW25113,nan,Antagonism,Loewe,24867991
Ampicillin,Doxycycline,Escherichia coli BW25113,nan,Antagonism,Loewe,24867991
Ampicillin,Chloramphenicol,Escherichia coli BW25113,nan,Antagonism,Loewe,24867991
Ampicillin,Erythromycin,Escherichia coli BW25113,nan,Antagonism,Loewe,24867991
Ampicillin,Fusidic Acid,Escherichia coli BW25113,nan,Antagonism,Loewe,24867991
Ampicillin,Sulfamonomethoxine,Escherichia coli BW25113,nan,Antagonism,Loewe,24867991
Ampicillin,Trimethoprim,Escherichia coli BW25113,nan,Antagonism,Loewe,24867991
Ampicillin,Gentamicin,Escherichia coli MG1655,0.4,Synergy,FICI,32941420
Ampicillin,Ciprofloxacin,Escherichia coli MG1655,1.12,Indifferent,FICI,32941420
Ampicillin,Cefotaxime,Escherichia coli MG1655,1.16,Indifferent,FICI,32941420
Ampicillin,Piperacillin,Escherichia coli MG1655,nan,Synergy,Bliss,16550172
Ampicillin,Cefoxitin,Escherichia coli MG1655,nan,Synergy,Bliss,16550172
Ampicillin,Clindamycin,Escherichia coli MG1655,nan,Additivity,Bliss,16550172
Ampicillin,Spiramycin,Escherichia coli MG1655,nan,Additivity,Bliss,16550172
Ampicillin,Erythromycin,Escherichia coli MG1655,nan,Synergy,Bliss,16550172
Ampicillin,Fusidic Acid,Escherichia coli MG1655,nan,Synergy,Bliss,16550172
Ampicillin,Chloramphenicol,Escherichia coli MG1655,nan,Additivity,Bliss,16550172
Ampicillin,Doxycycline Hyclate,Escherichia coli MG1655,nan,Antagonism,Bliss,16550172
Ampicillin,Tetracycline,Escherichia coli MG1655,nan,Antagonism,Bliss,16550172
Ampicillin,Spectinomycin,Escherichia coli MG1655,nan,Antagonism,Bliss,16550172
Ampicillin,Ciprofloxacin,Escherichia coli MG1655,nan,Additivity,Bliss,16550172
Ampicillin,Lomefloxacin,Escherichia coli MG1655,nan,Antagonism,Bliss,16550172
Ampicillin,Nalidixic Acid,Escherichia coli MG1655,nan,Additivity,Bliss,16550172
Ampicillin,Sulfamonomethoxine,Escherichia coli MG1655,nan,Antagonism,Bliss,16550172
Ampicillin,Trimethoprim,Escherichia coli MG1655,nan,Antagonism,Bliss,16550172
Ampicillin,Nitrofurantoin,Escherichia coli MG1655,nan,Antagonism,Bliss,16550172
Ampicillin,Amikacin,Escherichia coli MG1655,nan,Additivity,Bliss,16550172
Ampicillin,Tobramycin,Escherichia coli MG1655,nan,Synergy,Bliss,16550172
Ampicillin,Streptomycin,Escherichia coli MG1655,nan,Synergy,Bliss,16550172
Ampicillin,Bleomycin,Escherichia coli MG1655,nan,Synergy,Bliss,16550172
Ampicillin/Sulbactam,Amikacin,Klebsiella pneumoniae,4.5,Antagonism,FICI,28207768
Ampicillin/Sulbactam,Levofloxacin,Klebsiella pneumoniae,4.5,Antagonism,FICI,28207768
Ampicillin/Sulbactam,Ceftriaxone,Multidrug-resistant Acinetobacter baumannii,0.87,Additivity,FICI,29872329
Ampicillin/Sulbactam,Amikacin,Multidrug-resistant Acinetobacter baumannii,0.22,Synergy,FICI,29872329
Ampicillin/Sulbactam,Meropenem,Multidrug-resistant Acinetobacter baumannii,1.13,Indifference,FICI,29872329
Ampicillin/Sulbactam,Ceftriaxone,Multidrug-resistant Enterobacter cloacae,1.16,Indifference,FICI,29872329
Ampicillin/Sulbactam,Amikacin,Multidrug-resistant Enterobacter cloacae,0.5,Synergy,FICI,29872329
Ampicillin/Sulbactam,Meropenem,Multidrug-resistant Enterobacter cloacae,1.12,Indifference,FICI,29872329
Ampicillin/Sulbactam,Ceftriaxone,Multidrug-resistant Escherichia coli,0.27,Synergy,FICI,29872329
