Drug A,Drug B,Strain,Bliss Score,Interaction Type,Method,PMID,Drug A Inchikey,Drug B Inchikey,Specie,Drug Pair
amikacin,pyocyanin,escherichia coli bw25113,0.33,Antagonism,Bliss,29973719,LKCWBDHBTVXHDL-RMDFUYIESA-N,YNCMLFHHXWETLD-UHFFFAOYSA-N,escherichia coli,"('LKCWBDHBTVXHDL-RMDFUYIESA-N', 'YNCMLFHHXWETLD-UHFFFAOYSA-N')"
amikacin,trimethoprim,escherichia coli iai1,-0.13,Synergy,Bliss,29973719,LKCWBDHBTVXHDL-RMDFUYIESA-N,IEDVJHCEMCRBQM-UHFFFAOYSA-N,escherichia coli,"('IEDVJHCEMCRBQM-UHFFFAOYSA-N', 'LKCWBDHBTVXHDL-RMDFUYIESA-N')"
amikacin,cefotaxime,escherichia coli iai1,-0.11,Synergy,Bliss,29973719,LKCWBDHBTVXHDL-RMDFUYIESA-N,GPRBEKHLDVQUJE-QSWIMTSFSA-N,escherichia coli,"('GPRBEKHLDVQUJE-QSWIMTSFSA-N', 'LKCWBDHBTVXHDL-RMDFUYIESA-N')"
amikacin,puromycin,escherichia coli iai1,-0.26,Synergy,Bliss,29973719,LKCWBDHBTVXHDL-RMDFUYIESA-N,RXWNCPJZOCPEPQ-NVWDDTSBSA-N,escherichia coli,"('LKCWBDHBTVXHDL-RMDFUYIESA-N', 'RXWNCPJZOCPEPQ-NVWDDTSBSA-N')"
amikacin,levofloxacin,escherichia coli iai1,-0.17,Synergy,Bliss,29973719,LKCWBDHBTVXHDL-RMDFUYIESA-N,GSDSWSVVBLHKDQ-JTQLQIEISA-N,escherichia coli,"('GSDSWSVVBLHKDQ-JTQLQIEISA-N', 'LKCWBDHBTVXHDL-RMDFUYIESA-N')"
amikacin,piperacillin,escherichia coli iai1,-0.13,Synergy,Bliss,29973719,LKCWBDHBTVXHDL-RMDFUYIESA-N,IVBHGBMCVLDMKU-GXNBUGAJSA-N,escherichia coli,"('IVBHGBMCVLDMKU-GXNBUGAJSA-N', 'LKCWBDHBTVXHDL-RMDFUYIESA-N')"
amikacin,clindamycin,escherichia coli iai1,-0.06,Additivity,Bliss,29973719,LKCWBDHBTVXHDL-RMDFUYIESA-N,KDLRVYVGXIQJDK-AWPVFWJPSA-N,escherichia coli,"('KDLRVYVGXIQJDK-AWPVFWJPSA-N', 'LKCWBDHBTVXHDL-RMDFUYIESA-N')"
amikacin,spiramycin,escherichia coli iai1,-0.05,Additivity,Bliss,29973719,LKCWBDHBTVXHDL-RMDFUYIESA-N,ACTOXUHEUCPTEW-CEUOBAOPSA-N,escherichia coli,"('ACTOXUHEUCPTEW-CEUOBAOPSA-N', 'LKCWBDHBTVXHDL-RMDFUYIESA-N')"
amikacin,rifampicin,escherichia coli iai1,-0.07,Additivity,Bliss,29973719,LKCWBDHBTVXHDL-RMDFUYIESA-N,JQXXHWHPUNPDRT-WLSIYKJHSA-N,escherichia coli,"('JQXXHWHPUNPDRT-WLSIYKJHSA-N', 'LKCWBDHBTVXHDL-RMDFUYIESA-N')"
amikacin,azithromycin,escherichia coli iai1,0.04,Additivity,Bliss,29973719,LKCWBDHBTVXHDL-RMDFUYIESA-N,MQTOSJVFKKJCRP-BICOPXKESA-N,escherichia coli,"('LKCWBDHBTVXHDL-RMDFUYIESA-N', 'MQTOSJVFKKJCRP-BICOPXKESA-N')"
amikacin,erythromycin,escherichia coli iai1,0.05,Additivity,Bliss,29973719,LKCWBDHBTVXHDL-RMDFUYIESA-N,ULGZDMOVFRHVEP-RWJQBGPGSA-N,escherichia coli,"('LKCWBDHBTVXHDL-RMDFUYIESA-N', 'ULGZDMOVFRHVEP-RWJQBGPGSA-N')"
amikacin,clarithromycin,escherichia coli iai1,-0.05,Additivity,Bliss,29973719,LKCWBDHBTVXHDL-RMDFUYIESA-N,AGOYDEPGAOXOCK-KCBOHYOISA-N,escherichia coli,"('AGOYDEPGAOXOCK-KCBOHYOISA-N', 'LKCWBDHBTVXHDL-RMDFUYIESA-N')"
amikacin,nitrofurantoin,escherichia coli iai1,-0.31,Synergy,Bliss,29973719,LKCWBDHBTVXHDL-RMDFUYIESA-N,NXFQHRVNIOXGAQ-YCRREMRBSA-N,escherichia coli,"('LKCWBDHBTVXHDL-RMDFUYIESA-N', 'NXFQHRVNIOXGAQ-YCRREMRBSA-N')"
amikacin,pyocyanin,escherichia coli iai1,-0.05,Additivity,Bliss,29973719,LKCWBDHBTVXHDL-RMDFUYIESA-N,YNCMLFHHXWETLD-UHFFFAOYSA-N,escherichia coli,"('LKCWBDHBTVXHDL-RMDFUYIESA-N', 'YNCMLFHHXWETLD-UHFFFAOYSA-N')"
amikacin,cefotaxime,pseudomonas aeruginosa pa14,-0.33,Synergy,Bliss,29973719,LKCWBDHBTVXHDL-RMDFUYIESA-N,GPRBEKHLDVQUJE-QSWIMTSFSA-N,pseudomonas aeruginosa,"('GPRBEKHLDVQUJE-QSWIMTSFSA-N', 'LKCWBDHBTVXHDL-RMDFUYIESA-N')"
amikacin,rifampicin,pseudomonas aeruginosa pa14,0.18,Antagonism,Bliss,29973719,LKCWBDHBTVXHDL-RMDFUYIESA-N,JQXXHWHPUNPDRT-WLSIYKJHSA-N,pseudomonas aeruginosa,"('JQXXHWHPUNPDRT-WLSIYKJHSA-N', 'LKCWBDHBTVXHDL-RMDFUYIESA-N')"
amikacin,azithromycin,pseudomonas aeruginosa pa14,0.41,Antagonism,Bliss,29973719,LKCWBDHBTVXHDL-RMDFUYIESA-N,MQTOSJVFKKJCRP-BICOPXKESA-N,pseudomonas aeruginosa,"('LKCWBDHBTVXHDL-RMDFUYIESA-N', 'MQTOSJVFKKJCRP-BICOPXKESA-N')"
amikacin,cefsulodin,pseudomonas aeruginosa pa14,-0.17,Synergy,Bliss,29973719,LKCWBDHBTVXHDL-RMDFUYIESA-N,SYLKGLMBLAAGSC-QLVMHMETSA-N,pseudomonas aeruginosa,"('LKCWBDHBTVXHDL-RMDFUYIESA-N', 'SYLKGLMBLAAGSC-QLVMHMETSA-N')"
amikacin,lmipenem,pseudomonas aeruginosa pa14,0.0,Additivity,Bliss,29973719,LKCWBDHBTVXHDL-RMDFUYIESA-N,ZSKVGTPCRGIANV-ZXFLCMHBSA-N,pseudomonas aeruginosa,"('LKCWBDHBTVXHDL-RMDFUYIESA-N', 'ZSKVGTPCRGIANV-ZXFLCMHBSA-N')"
amikacin,meropenem,pseudomonas aeruginosa pa14,-0.04,Additivity,Bliss,29973719,LKCWBDHBTVXHDL-RMDFUYIESA-N,DMJNNHOOLUXYBV-PQTSNVLCSA-N,pseudomonas aeruginosa,"('DMJNNHOOLUXYBV-PQTSNVLCSA-N', 'LKCWBDHBTVXHDL-RMDFUYIESA-N')"
amikacin,minocycline,pseudomonas aeruginosa pa14,0.12,Additivity,Bliss,29973719,LKCWBDHBTVXHDL-RMDFUYIESA-N,WTJXVDPDEQKTCV-VQAITOIOSA-N,pseudomonas aeruginosa,"('LKCWBDHBTVXHDL-RMDFUYIESA-N', 'WTJXVDPDEQKTCV-VQAITOIOSA-N')"
amikacin,daptomycin,pseudomonas aeruginosa pa14,0.06,Additivity,Bliss,29973719,LKCWBDHBTVXHDL-RMDFUYIESA-N,DOAKLVKFURWEDJ-QCMAZARJSA-N,pseudomonas aeruginosa,"('DOAKLVKFURWEDJ-QCMAZARJSA-N', 'LKCWBDHBTVXHDL-RMDFUYIESA-N')"
amikacin,colistin,pseudomonas aeruginosa pa14,0.0,Additivity,Bliss,29973719,LKCWBDHBTVXHDL-RMDFUYIESA-N,YKQOSKADJPQZHB-RGYSVOEGSA-N,pseudomonas aeruginosa,"('LKCWBDHBTVXHDL-RMDFUYIESA-N', 'YKQOSKADJPQZHB-RGYSVOEGSA-N')"
amikacin,bleomycin,pseudomonas aeruginosa pa14,0.14,Antagonism,Bliss,29973719,LKCWBDHBTVXHDL-RMDFUYIESA-N,OYVAGSVQBOHSSS-WXFSZRTFSA-O,pseudomonas aeruginosa,"('LKCWBDHBTVXHDL-RMDFUYIESA-N', 'OYVAGSVQBOHSSS-WXFSZRTFSA-O')"
amikacin,mecillinam,pseudomonas aeruginosa pa14,0.11,Antagonism,Bliss,29973719,LKCWBDHBTVXHDL-RMDFUYIESA-N,BWWVAEOLVKTZFQ-NTZNESFSSA-N,pseudomonas aeruginosa,"('BWWVAEOLVKTZFQ-NTZNESFSSA-N', 'LKCWBDHBTVXHDL-RMDFUYIESA-N')"
amikacin,tobramycin,pseudomonas aeruginosa pa14,-0.13,Synergy,Bliss,29973719,LKCWBDHBTVXHDL-RMDFUYIESA-N,NLVFBUXFDBBNBW-PBSUHMDJSA-N,pseudomonas aeruginosa,"('LKCWBDHBTVXHDL-RMDFUYIESA-N', 'NLVFBUXFDBBNBW-PBSUHMDJSA-N')"
amikacin,aztreonam,pseudomonas aeruginosa pa14,-0.5,Synergy,Bliss,29973719,LKCWBDHBTVXHDL-RMDFUYIESA-N,WZPBZJONDBGPKJ-VEHQQRBSSA-N,pseudomonas aeruginosa,"('LKCWBDHBTVXHDL-RMDFUYIESA-N', 'WZPBZJONDBGPKJ-VEHQQRBSSA-N')"
amikacin,nitrofurantoin,pseudomonas aeruginosa pa14,-0.05,Additivity,Bliss,29973719,LKCWBDHBTVXHDL-RMDFUYIESA-N,NXFQHRVNIOXGAQ-YCRREMRBSA-N,pseudomonas aeruginosa,"('LKCWBDHBTVXHDL-RMDFUYIESA-N', 'NXFQHRVNIOXGAQ-YCRREMRBSA-N')"
amikacin,chlorhexidine,pseudomonas aeruginosa pa14,0.17,Antagonism,Bliss,29973719,LKCWBDHBTVXHDL-RMDFUYIESA-N,GHXZTYHSJHQHIJ-UHFFFAOYSA-N,pseudomonas aeruginosa,"('GHXZTYHSJHQHIJ-UHFFFAOYSA-N', 'LKCWBDHBTVXHDL-RMDFUYIESA-N')"
amikacin,cefotaxime,pseudomonas aeruginosa pao1,-0.39,Synergy,Bliss,29973719,LKCWBDHBTVXHDL-RMDFUYIESA-N,GPRBEKHLDVQUJE-QSWIMTSFSA-N,pseudomonas aeruginosa,"('GPRBEKHLDVQUJE-QSWIMTSFSA-N', 'LKCWBDHBTVXHDL-RMDFUYIESA-N')"
amikacin,rifampicin,pseudomonas aeruginosa pao1,0.15,Antagonism,Bliss,29973719,LKCWBDHBTVXHDL-RMDFUYIESA-N,JQXXHWHPUNPDRT-WLSIYKJHSA-N,pseudomonas aeruginosa,"('JQXXHWHPUNPDRT-WLSIYKJHSA-N', 'LKCWBDHBTVXHDL-RMDFUYIESA-N')"
amikacin,azithromycin,pseudomonas aeruginosa pao1,0.69,Antagonism,Bliss,29973719,LKCWBDHBTVXHDL-RMDFUYIESA-N,MQTOSJVFKKJCRP-BICOPXKESA-N,pseudomonas aeruginosa,"('LKCWBDHBTVXHDL-RMDFUYIESA-N', 'MQTOSJVFKKJCRP-BICOPXKESA-N')"
amikacin,cefsulodin,pseudomonas aeruginosa pao1,-0.06,Additivity,Bliss,29973719,LKCWBDHBTVXHDL-RMDFUYIESA-N,SYLKGLMBLAAGSC-QLVMHMETSA-N,pseudomonas aeruginosa,"('LKCWBDHBTVXHDL-RMDFUYIESA-N', 'SYLKGLMBLAAGSC-QLVMHMETSA-N')"
amikacin,lmipenem,pseudomonas aeruginosa pao1,-0.1,Synergy,Bliss,29973719,LKCWBDHBTVXHDL-RMDFUYIESA-N,ZSKVGTPCRGIANV-ZXFLCMHBSA-N,pseudomonas aeruginosa,"('LKCWBDHBTVXHDL-RMDFUYIESA-N', 'ZSKVGTPCRGIANV-ZXFLCMHBSA-N')"
amikacin,meropenem,pseudomonas aeruginosa pao1,-0.26,Synergy,Bliss,29973719,LKCWBDHBTVXHDL-RMDFUYIESA-N,DMJNNHOOLUXYBV-PQTSNVLCSA-N,pseudomonas aeruginosa,"('DMJNNHOOLUXYBV-PQTSNVLCSA-N', 'LKCWBDHBTVXHDL-RMDFUYIESA-N')"
amikacin,minocycline,pseudomonas aeruginosa pao1,0.3,Antagonism,Bliss,29973719,LKCWBDHBTVXHDL-RMDFUYIESA-N,WTJXVDPDEQKTCV-VQAITOIOSA-N,pseudomonas aeruginosa,"('LKCWBDHBTVXHDL-RMDFUYIESA-N', 'WTJXVDPDEQKTCV-VQAITOIOSA-N')"
amikacin,daptomycin,pseudomonas aeruginosa pao1,0.11,Antagonism,Bliss,29973719,LKCWBDHBTVXHDL-RMDFUYIESA-N,DOAKLVKFURWEDJ-QCMAZARJSA-N,pseudomonas aeruginosa,"('DOAKLVKFURWEDJ-QCMAZARJSA-N', 'LKCWBDHBTVXHDL-RMDFUYIESA-N')"
amikacin,colistin,pseudomonas aeruginosa pao1,0.23,Antagonism,Bliss,29973719,LKCWBDHBTVXHDL-RMDFUYIESA-N,YKQOSKADJPQZHB-RGYSVOEGSA-N,pseudomonas aeruginosa,"('LKCWBDHBTVXHDL-RMDFUYIESA-N', 'YKQOSKADJPQZHB-RGYSVOEGSA-N')"
amikacin,bleomycin,pseudomonas aeruginosa pao1,0.07,Additivity,Bliss,29973719,LKCWBDHBTVXHDL-RMDFUYIESA-N,OYVAGSVQBOHSSS-WXFSZRTFSA-O,pseudomonas aeruginosa,"('LKCWBDHBTVXHDL-RMDFUYIESA-N', 'OYVAGSVQBOHSSS-WXFSZRTFSA-O')"
amikacin,mecillinam,pseudomonas aeruginosa pao1,0.1,Antagonism,Bliss,29973719,LKCWBDHBTVXHDL-RMDFUYIESA-N,BWWVAEOLVKTZFQ-NTZNESFSSA-N,pseudomonas aeruginosa,"('BWWVAEOLVKTZFQ-NTZNESFSSA-N', 'LKCWBDHBTVXHDL-RMDFUYIESA-N')"
amikacin,tobramycin,pseudomonas aeruginosa pao1,-0.13,Synergy,Bliss,29973719,LKCWBDHBTVXHDL-RMDFUYIESA-N,NLVFBUXFDBBNBW-PBSUHMDJSA-N,pseudomonas aeruginosa,"('LKCWBDHBTVXHDL-RMDFUYIESA-N', 'NLVFBUXFDBBNBW-PBSUHMDJSA-N')"
amikacin,aztreonam,pseudomonas aeruginosa pao1,-0.32,Synergy,Bliss,29973719,LKCWBDHBTVXHDL-RMDFUYIESA-N,WZPBZJONDBGPKJ-VEHQQRBSSA-N,pseudomonas aeruginosa,"('LKCWBDHBTVXHDL-RMDFUYIESA-N', 'WZPBZJONDBGPKJ-VEHQQRBSSA-N')"
amikacin,nitrofurantoin,pseudomonas aeruginosa pao1,0.22,Antagonism,Bliss,29973719,LKCWBDHBTVXHDL-RMDFUYIESA-N,NXFQHRVNIOXGAQ-YCRREMRBSA-N,pseudomonas aeruginosa,"('LKCWBDHBTVXHDL-RMDFUYIESA-N', 'NXFQHRVNIOXGAQ-YCRREMRBSA-N')"
amikacin,chlorhexidine,pseudomonas aeruginosa pao1,0.17,Antagonism,Bliss,29973719,LKCWBDHBTVXHDL-RMDFUYIESA-N,GHXZTYHSJHQHIJ-UHFFFAOYSA-N,pseudomonas aeruginosa,"('GHXZTYHSJHQHIJ-UHFFFAOYSA-N', 'LKCWBDHBTVXHDL-RMDFUYIESA-N')"
amikacin,levofloxacin,salmonella typhimurium 14028,-0.42,Synergy,Bliss,29973719,LKCWBDHBTVXHDL-RMDFUYIESA-N,GSDSWSVVBLHKDQ-JTQLQIEISA-N,salmonella typhimurium,"('GSDSWSVVBLHKDQ-JTQLQIEISA-N', 'LKCWBDHBTVXHDL-RMDFUYIESA-N')"
amikacin,piperacillin,salmonella typhimurium 14028,-0.17,Synergy,Bliss,29973719,LKCWBDHBTVXHDL-RMDFUYIESA-N,IVBHGBMCVLDMKU-GXNBUGAJSA-N,salmonella typhimurium,"('IVBHGBMCVLDMKU-GXNBUGAJSA-N', 'LKCWBDHBTVXHDL-RMDFUYIESA-N')"
amikacin,puromycin,salmonella typhimurium 14028,-0.1,Additivity,Bliss,29973719,LKCWBDHBTVXHDL-RMDFUYIESA-N,RXWNCPJZOCPEPQ-NVWDDTSBSA-N,salmonella typhimurium,"('LKCWBDHBTVXHDL-RMDFUYIESA-N', 'RXWNCPJZOCPEPQ-NVWDDTSBSA-N')"
amikacin,erythromycin,salmonella typhimurium 14028,-0.04,Additivity,Bliss,29973719,LKCWBDHBTVXHDL-RMDFUYIESA-N,ULGZDMOVFRHVEP-RWJQBGPGSA-N,salmonella typhimurium,"('LKCWBDHBTVXHDL-RMDFUYIESA-N', 'ULGZDMOVFRHVEP-RWJQBGPGSA-N')"
amikacin,clarithromycin,salmonella typhimurium 14028,-0.05,Additivity,Bliss,29973719,LKCWBDHBTVXHDL-RMDFUYIESA-N,AGOYDEPGAOXOCK-KCBOHYOISA-N,salmonella typhimurium,"('AGOYDEPGAOXOCK-KCBOHYOISA-N', 'LKCWBDHBTVXHDL-RMDFUYIESA-N')"
amikacin,cefaclor,salmonella typhimurium 14028,-0.16,Synergy,Bliss,29973719,LKCWBDHBTVXHDL-RMDFUYIESA-N,QYIYFLOTGYLRGG-GPCCPHFNSA-N,salmonella typhimurium,"('LKCWBDHBTVXHDL-RMDFUYIESA-N', 'QYIYFLOTGYLRGG-GPCCPHFNSA-N')"
amikacin,moxifloxacin,salmonella typhimurium 14028,0.05,Additivity,Bliss,29973719,LKCWBDHBTVXHDL-RMDFUYIESA-N,FABPRXSRWADJSP-MEDUHNTESA-N,salmonella typhimurium,"('FABPRXSRWADJSP-MEDUHNTESA-N', 'LKCWBDHBTVXHDL-RMDFUYIESA-N')"
amikacin,tobramycin,salmonella typhimurium 14028,-0.1,Synergy,Bliss,29973719,LKCWBDHBTVXHDL-RMDFUYIESA-N,NLVFBUXFDBBNBW-PBSUHMDJSA-N,salmonella typhimurium,"('LKCWBDHBTVXHDL-RMDFUYIESA-N', 'NLVFBUXFDBBNBW-PBSUHMDJSA-N')"
amikacin,aztreonam,salmonella typhimurium 14028,-0.14,Synergy,Bliss,29973719,LKCWBDHBTVXHDL-RMDFUYIESA-N,WZPBZJONDBGPKJ-VEHQQRBSSA-N,salmonella typhimurium,"('LKCWBDHBTVXHDL-RMDFUYIESA-N', 'WZPBZJONDBGPKJ-VEHQQRBSSA-N')"
amikacin,chlorhexidine,salmonella typhimurium 14028,0.04,Additivity,Bliss,29973719,LKCWBDHBTVXHDL-RMDFUYIESA-N,GHXZTYHSJHQHIJ-UHFFFAOYSA-N,salmonella typhimurium,"('GHXZTYHSJHQHIJ-UHFFFAOYSA-N', 'LKCWBDHBTVXHDL-RMDFUYIESA-N')"
amikacin,pyocyanin,salmonella typhimurium 14028,-0.09,Additivity,Bliss,29973719,LKCWBDHBTVXHDL-RMDFUYIESA-N,YNCMLFHHXWETLD-UHFFFAOYSA-N,salmonella typhimurium,"('LKCWBDHBTVXHDL-RMDFUYIESA-N', 'YNCMLFHHXWETLD-UHFFFAOYSA-N')"
amikacin,levofloxacin,salmonella typhimurium lt2,-0.36,Synergy,Bliss,29973719,LKCWBDHBTVXHDL-RMDFUYIESA-N,GSDSWSVVBLHKDQ-JTQLQIEISA-N,salmonella typhimurium,"('GSDSWSVVBLHKDQ-JTQLQIEISA-N', 'LKCWBDHBTVXHDL-RMDFUYIESA-N')"
amikacin,piperacillin,salmonella typhimurium lt2,-0.4,Synergy,Bliss,29973719,LKCWBDHBTVXHDL-RMDFUYIESA-N,IVBHGBMCVLDMKU-GXNBUGAJSA-N,salmonella typhimurium,"('IVBHGBMCVLDMKU-GXNBUGAJSA-N', 'LKCWBDHBTVXHDL-RMDFUYIESA-N')"
amikacin,puromycin,salmonella typhimurium lt2,-0.29,Synergy,Bliss,29973719,LKCWBDHBTVXHDL-RMDFUYIESA-N,RXWNCPJZOCPEPQ-NVWDDTSBSA-N,salmonella typhimurium,"('LKCWBDHBTVXHDL-RMDFUYIESA-N', 'RXWNCPJZOCPEPQ-NVWDDTSBSA-N')"
amikacin,erythromycin,salmonella typhimurium lt2,0.16,Antagonism,Bliss,29973719,LKCWBDHBTVXHDL-RMDFUYIESA-N,ULGZDMOVFRHVEP-RWJQBGPGSA-N,salmonella typhimurium,"('LKCWBDHBTVXHDL-RMDFUYIESA-N', 'ULGZDMOVFRHVEP-RWJQBGPGSA-N')"
amikacin,clarithromycin,salmonella typhimurium lt2,0.15,Antagonism,Bliss,29973719,LKCWBDHBTVXHDL-RMDFUYIESA-N,AGOYDEPGAOXOCK-KCBOHYOISA-N,salmonella typhimurium,"('AGOYDEPGAOXOCK-KCBOHYOISA-N', 'LKCWBDHBTVXHDL-RMDFUYIESA-N')"
amikacin,cefaclor,salmonella typhimurium lt2,-0.11,Additivity,Bliss,29973719,LKCWBDHBTVXHDL-RMDFUYIESA-N,QYIYFLOTGYLRGG-GPCCPHFNSA-N,salmonella typhimurium,"('LKCWBDHBTVXHDL-RMDFUYIESA-N', 'QYIYFLOTGYLRGG-GPCCPHFNSA-N')"
amikacin,moxifloxacin,salmonella typhimurium lt2,-0.3,Synergy,Bliss,29973719,LKCWBDHBTVXHDL-RMDFUYIESA-N,FABPRXSRWADJSP-MEDUHNTESA-N,salmonella typhimurium,"('FABPRXSRWADJSP-MEDUHNTESA-N', 'LKCWBDHBTVXHDL-RMDFUYIESA-N')"
amikacin,tobramycin,salmonella typhimurium lt2,-0.33,Synergy,Bliss,29973719,LKCWBDHBTVXHDL-RMDFUYIESA-N,NLVFBUXFDBBNBW-PBSUHMDJSA-N,salmonella typhimurium,"('LKCWBDHBTVXHDL-RMDFUYIESA-N', 'NLVFBUXFDBBNBW-PBSUHMDJSA-N')"
amikacin,aztreonam,salmonella typhimurium lt2,-0.31,Synergy,Bliss,29973719,LKCWBDHBTVXHDL-RMDFUYIESA-N,WZPBZJONDBGPKJ-VEHQQRBSSA-N,salmonella typhimurium,"('LKCWBDHBTVXHDL-RMDFUYIESA-N', 'WZPBZJONDBGPKJ-VEHQQRBSSA-N')"
amikacin,chlorhexidine,salmonella typhimurium lt2,0.15,Antagonism,Bliss,29973719,LKCWBDHBTVXHDL-RMDFUYIESA-N,GHXZTYHSJHQHIJ-UHFFFAOYSA-N,salmonella typhimurium,"('GHXZTYHSJHQHIJ-UHFFFAOYSA-N', 'LKCWBDHBTVXHDL-RMDFUYIESA-N')"
amikacin,pyocyanin,salmonella typhimurium lt2,0.24,Antagonism,Bliss,29973719,LKCWBDHBTVXHDL-RMDFUYIESA-N,YNCMLFHHXWETLD-UHFFFAOYSA-N,salmonella typhimurium,"('LKCWBDHBTVXHDL-RMDFUYIESA-N', 'YNCMLFHHXWETLD-UHFFFAOYSA-N')"
amikacin,ciprofloxacin,escherichia coli bw25113,-0.21,Synergy,Bliss,29973719,LKCWBDHBTVXHDL-RMDFUYIESA-N,MYSWGUAQZAJSOK-UHFFFAOYSA-N,escherichia coli,"('LKCWBDHBTVXHDL-RMDFUYIESA-N', 'MYSWGUAQZAJSOK-UHFFFAOYSA-N')"
amikacin,amoxycillin,escherichia coli bw25113,-0.13,Synergy,Bliss,29973719,LKCWBDHBTVXHDL-RMDFUYIESA-N,LSQZJLSUYDQPKJ-NJBDSQKTSA-N,escherichia coli,"('LKCWBDHBTVXHDL-RMDFUYIESA-N', 'LSQZJLSUYDQPKJ-NJBDSQKTSA-N')"
amikacin,novobiocin,escherichia coli bw25113,-0.12,Additivity,Bliss,29973719,LKCWBDHBTVXHDL-RMDFUYIESA-N,YJQPYGGHQPGBLI-KGSXXDOSSA-N,escherichia coli,"('LKCWBDHBTVXHDL-RMDFUYIESA-N', 'YJQPYGGHQPGBLI-KGSXXDOSSA-N')"
amikacin,polymyxin b,escherichia coli bw25113,0.13,Antagonism,Bliss,29973719,LKCWBDHBTVXHDL-RMDFUYIESA-N,WQVJHHACXVLGBL-BPJDFBQWSA-N,escherichia coli,"('LKCWBDHBTVXHDL-RMDFUYIESA-N', 'WQVJHHACXVLGBL-BPJDFBQWSA-N')"
